Spacecraft: DefaultSC

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
20 Mar 2029 23:59:22.966    21 Mar 2029 00:17:08.326      1065.3601881    Earth           Umbra       1             1073.7976153
21 Mar 2029 00:17:08.326    21 Mar 2029 00:17:16.763      8.4374272032    Earth           Penumbra    1             1073.7976153
21 Mar 2029 01:15:51.257    21 Mar 2029 01:15:59.695      8.4375532460    Earth           Penumbra    2             2146.7166257
21 Mar 2029 01:15:59.695    21 Mar 2029 01:51:29.536      2129.8413315    Earth           Umbra       2             2146.7166257
21 Mar 2029 01:51:29.536    21 Mar 2029 01:51:37.974      8.4377408959    Earth           Penumbra    2             2146.7166257
21 Mar 2029 02:50:12.466    21 Mar 2029 02:50:20.904      8.4375494742    Earth           Penumbra    3             2146.6719330
21 Mar 2029 02:50:20.904    21 Mar 2029 03:25:50.700      2129.7959071    Earth           Umbra       3             2146.6719330
21 Mar 2029 03:25:50.700    21 Mar 2029 03:25:59.138      8.4384764079    Earth           Penumbra    3             2146.6719330
21 Mar 2029 04:24:33.740    21 Mar 2029 04:24:42.179      8.4381513996    Earth           Penumbra    4             2146.6276539
21 Mar 2029 04:24:42.179    21 Mar 2029 05:00:11.928      2129.7498797    Earth           Umbra       4             2146.6276539
21 Mar 2029 05:00:11.928    21 Mar 2029 05:00:20.368      8.4396227379    Earth           Penumbra    4             2146.6276539
21 Mar 2029 05:58:55.132    21 Mar 2029 05:59:03.572      8.4394234582    Earth           Penumbra    5             2146.5857058
21 Mar 2029 05:59:03.572    21 Mar 2029 06:34:33.277      2129.7050666    Earth           Umbra       5             2146.5857058
21 Mar 2029 06:34:33.277    21 Mar 2029 06:34:41.718      8.4412157186    Earth           Penumbra    5             2146.5857058
21 Mar 2029 07:33:16.533    21 Mar 2029 07:33:24.974      8.4408228169    Earth           Penumbra    6             2146.5302117
21 Mar 2029 07:33:24.974    21 Mar 2029 08:08:54.621      2129.6463593    Earth           Umbra       6             2146.5302117
21 Mar 2029 08:08:54.621    21 Mar 2029 08:09:03.064      8.4430296673    Earth           Penumbra    6             2146.5302117
21 Mar 2029 09:07:37.807    21 Mar 2029 09:07:46.249      8.4419050254    Earth           Penumbra    7             2146.4277637
21 Mar 2029 09:07:46.249    21 Mar 2029 09:43:15.790      2129.5410028    Earth           Umbra       7             2146.4277637
21 Mar 2029 09:43:15.790    21 Mar 2029 09:43:24.234      8.4448558744    Earth           Penumbra    7             2146.4277637
21 Mar 2029 10:41:59.038    21 Mar 2029 10:42:07.481      8.4429237409    Earth           Penumbra    8             2146.2979688
21 Mar 2029 10:42:07.481    21 Mar 2029 11:17:36.889      2129.4083869    Earth           Umbra       8             2146.2979688
21 Mar 2029 11:17:36.889    21 Mar 2029 11:17:45.336      8.4466581931    Earth           Penumbra    8             2146.2979688
21 Mar 2029 12:16:20.239    21 Mar 2029 12:16:28.683      8.4442033432    Earth           Penumbra    9             2146.1380088
21 Mar 2029 12:16:28.683    21 Mar 2029 12:51:57.928      2129.2451667    Earth           Umbra       9             2146.1380088
21 Mar 2029 12:51:57.928    21 Mar 2029 12:52:06.377      8.4486387321    Earth           Penumbra    9             2146.1380088
21 Mar 2029 13:50:41.498    21 Mar 2029 13:50:49.944      8.4456567653    Earth           Penumbra    10            2145.9548594
21 Mar 2029 13:50:49.944    21 Mar 2029 14:26:19.002      2129.0584400    Earth           Umbra       10            2145.9548594
21 Mar 2029 14:26:19.002    21 Mar 2029 14:26:27.453      8.4507626016    Earth           Penumbra    10            2145.9548594
21 Mar 2029 15:25:02.894    21 Mar 2029 15:25:11.341      8.4474182222    Earth           Penumbra    11            2145.7535639
21 Mar 2029 15:25:11.341    21 Mar 2029 16:00:40.195      2128.8533236    Earth           Umbra       11            2145.7535639
21 Mar 2029 16:00:40.195    21 Mar 2029 16:00:48.647      8.4528220352    Earth           Penumbra    11            2145.7535639
21 Mar 2029 16:59:24.159    21 Mar 2029 16:59:32.608      8.4495974123    Earth           Penumbra    12            2145.5382487
21 Mar 2029 16:59:32.608    21 Mar 2029 17:35:01.242      2128.6332641    Earth           Umbra       12            2145.5382487
21 Mar 2029 17:35:01.242    21 Mar 2029 17:35:09.697      8.4553872119    Earth           Penumbra    12            2145.5382487
21 Mar 2029 18:33:45.447    21 Mar 2029 18:33:53.899      8.4519777680    Earth           Penumbra    13            2145.2987431
21 Mar 2029 18:33:53.899    21 Mar 2029 19:09:22.287      2128.3883961    Earth           Umbra       13            2145.2987431
21 Mar 2029 19:09:22.287    21 Mar 2029 19:09:30.746      8.4583691787    Earth           Penumbra    13            2145.2987431
21 Mar 2029 20:08:06.815    21 Mar 2029 20:08:15.269      8.4542858298    Earth           Penumbra    14            2145.0509509
21 Mar 2029 20:08:15.269    21 Mar 2029 20:43:43.404      2128.1352062    Earth           Umbra       14            2145.0509509
21 Mar 2029 20:43:43.404    21 Mar 2029 20:43:51.866      8.4614589578    Earth           Penumbra    14            2145.0509509
21 Mar 2029 21:42:28.125    21 Mar 2029 21:42:36.582      8.4569119848    Earth           Penumbra    15            2144.7877527
21 Mar 2029 21:42:36.582    21 Mar 2029 22:18:04.448      2127.8659578    Earth           Umbra       15            2144.7877527
21 Mar 2029 22:18:04.448    21 Mar 2029 22:18:12.913      8.4648828604    Earth           Penumbra    15            2144.7877527
21 Mar 2029 23:16:49.447    21 Mar 2029 23:16:57.907      8.4599388996    Earth           Penumbra    16            2144.5104489
21 Mar 2029 23:16:57.907    21 Mar 2029 23:52:25.489      2127.5819921    Earth           Umbra       16            2144.5104489
21 Mar 2029 23:52:25.489    21 Mar 2029 23:52:33.958      8.4685179871    Earth           Penumbra    16            2144.5104489
22 Mar 2029 00:51:10.707    22 Mar 2029 00:51:19.170      8.4632194717    Earth           Penumbra    17            2144.2176378
22 Mar 2029 00:51:19.170    22 Mar 2029 01:26:46.452      2127.2819814    Earth           Umbra       17            2144.2176378
22 Mar 2029 01:26:46.452    22 Mar 2029 01:26:54.925      8.4724369459    Earth           Penumbra    17            2144.2176378
22 Mar 2029 02:25:31.930    22 Mar 2029 02:25:40.397      8.4668149939    Earth           Penumbra    18            2143.9095523
22 Mar 2029 02:25:40.397    22 Mar 2029 03:01:07.363      2126.9659413    Earth           Umbra       18            2143.9095523
22 Mar 2029 03:01:07.363    22 Mar 2029 03:01:15.840      8.4767959546    Earth           Penumbra    18            2143.9095523
22 Mar 2029 03:59:53.220    22 Mar 2029 04:00:01.691      8.4710102412    Earth           Penumbra    19            2143.5992238
22 Mar 2029 04:00:01.691    22 Mar 2029 04:35:28.338      2126.6466490    Earth           Umbra       19            2143.5992238
22 Mar 2029 04:35:28.338    22 Mar 2029 04:35:36.819      8.4815645241    Earth           Penumbra    19            2143.5992238
22 Mar 2029 05:34:14.629    22 Mar 2029 05:34:23.105      8.4758881945    Earth           Penumbra    20            2143.2892627
