Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
21 Mar 2029 01:45:45.682    21 Mar 2029 01:52:06.547      380.86495916    
21 Mar 2029 03:22:31.838    21 Mar 2029 03:29:56.161      444.32278171    
21 Mar 2029 05:01:07.464    21 Mar 2029 05:07:30.918      383.45472584    
21 Mar 2029 06:39:25.276    21 Mar 2029 06:45:57.510      392.23446694    
21 Mar 2029 08:16:56.521    21 Mar 2029 08:24:22.691      446.17014772    
21 Mar 2029 09:55:05.302    21 Mar 2029 10:00:29.254      323.95207447    
22 Mar 2029 01:20:30.819    22 Mar 2029 01:26:35.493      364.67372670    
22 Mar 2029 02:57:04.067    22 Mar 2029 03:04:30.522      446.45588627    
22 Mar 2029 04:35:36.593    22 Mar 2029 04:42:03.330      386.73659706    
22 Mar 2029 06:13:57.957    22 Mar 2029 06:20:26.432      388.47569791    
22 Mar 2029 07:51:30.333    22 Mar 2029 07:58:55.439      445.10555507    
22 Mar 2029 09:29:31.275    22 Mar 2029 09:35:16.946      345.67011825    
23 Mar 2029 00:55:15.680    23 Mar 2029 01:01:01.322      345.64226686    
23 Mar 2029 02:31:34.818    23 Mar 2029 02:39:02.856      448.03799019    
23 Mar 2029 04:10:03.660    23 Mar 2029 04:16:34.026      390.36601970    
23 Mar 2029 05:48:28.425    23 Mar 2029 05:54:53.416      384.99189941    
23 Mar 2029 07:26:02.270    23 Mar 2029 07:33:25.697      443.42645786    
23 Mar 2029 09:03:56.621    23 Mar 2029 09:10:00.867      364.24565243    
24 Mar 2029 00:30:00.589    24 Mar 2029 00:35:23.740      323.15145676    
24 Mar 2029 02:06:04.147    24 Mar 2029 02:13:33.146      448.99930627    
24 Mar 2029 03:44:28.712    24 Mar 2029 03:51:03.008      394.29623910    
24 Mar 2029 05:22:56.673    24 Mar 2029 05:29:18.512      381.83872991    
24 Mar 2029 07:00:32.319    24 Mar 2029 07:07:53.505      441.18551781    
24 Mar 2029 08:38:21.095    24 Mar 2029 08:44:41.280      380.18490602    
25 Mar 2029 00:04:46.022    25 Mar 2029 00:09:42.306      296.28389259    
25 Mar 2029 01:40:32.109    25 Mar 2029 01:48:01.375      449.26623269    
25 Mar 2029 03:18:51.799    25 Mar 2029 03:25:30.274      398.47570244    
25 Mar 2029 04:57:22.700    25 Mar 2029 05:03:41.769      379.06902839    
25 Mar 2029 06:35:00.468    25 Mar 2029 06:42:18.904      438.43600578    
25 Mar 2029 08:12:44.524    25 Mar 2029 08:19:18.378      393.85431205    
25 Mar 2029 23:39:32.740    25 Mar 2029 23:43:56.295      263.55505055    
26 Mar 2029 01:14:58.763    26 Mar 2029 01:22:27.524      448.76046163    
26 Mar 2029 02:53:12.974    26 Mar 2029 02:59:55.823      402.84873212    
26 Mar 2029 04:31:46.503    26 Mar 2029 04:38:03.235      376.73165265    
26 Mar 2029 06:09:26.703    26 Mar 2029 06:16:41.935      435.23225285    
26 Mar 2029 07:47:06.779    26 Mar 2029 07:53:52.310      405.53090960    
26 Mar 2029 23:14:22.137    26 Mar 2029 23:18:04.348      222.21036809    
27 Mar 2029 00:49:24.171    27 Mar 2029 00:56:51.569      447.39784298    
27 Mar 2029 02:27:32.293    27 Mar 2029 02:34:19.649      407.35618605    
27 Mar 2029 04:06:08.087    27 Mar 2029 04:12:22.957      374.87026445    
27 Mar 2029 05:43:51.014    27 Mar 2029 05:51:02.644      431.63003786    
27 Mar 2029 07:21:27.762    27 Mar 2029 07:28:23.194      415.43165711    
27 Mar 2029 22:49:17.515    27 Mar 2029 22:52:03.196      165.68088254    
