Target: DefaultSC

Observer: GroundStation4
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
21 Mar 2029 01:46:50.213    21 Mar 2029 01:51:46.778      296.56468781    
21 Mar 2029 08:20:33.398    21 Mar 2029 08:25:29.851      296.45299780    
22 Mar 2029 01:21:23.124    22 Mar 2029 01:26:21.947      298.82252358    
22 Mar 2029 07:55:07.562    22 Mar 2029 08:00:03.116      295.55432315    
23 Mar 2029 00:55:55.262    23 Mar 2029 01:00:54.507      299.24498250    
23 Mar 2029 02:36:05.495    23 Mar 2029 02:36:40.619      35.123894806    
23 Mar 2029 07:29:40.412    23 Mar 2029 07:34:33.226      292.81381957    
24 Mar 2029 00:30:26.711    24 Mar 2029 00:35:24.404      297.69274634    
24 Mar 2029 02:09:59.679    24 Mar 2029 02:11:39.553      99.873786257    
24 Mar 2029 07:04:11.932    24 Mar 2029 07:09:00.210      288.27714350    
25 Mar 2029 00:04:57.580    25 Mar 2029 00:09:51.564      293.98402451    
25 Mar 2029 01:44:06.086    25 Mar 2029 01:46:22.814      136.72731486    
25 Mar 2029 06:38:42.123    25 Mar 2029 06:43:24.087      281.96413930    
25 Mar 2029 23:39:28.003    25 Mar 2029 23:44:15.884      287.88021973    
26 Mar 2029 01:18:14.957    26 Mar 2029 01:21:00.207      165.25038737    
26 Mar 2029 06:13:10.998    26 Mar 2029 06:17:44.866      273.86812546    
26 Mar 2029 07:51:43.067    26 Mar 2029 07:53:46.136      123.06920429    
26 Mar 2029 23:13:58.158    26 Mar 2029 23:18:37.220      279.06237220    
27 Mar 2029 00:52:24.526    27 Mar 2029 00:55:33.542      189.01611983    
27 Mar 2029 05:47:38.585    27 Mar 2029 05:52:02.537      263.95232321    
27 Mar 2029 07:25:44.900    27 Mar 2029 07:28:37.837      172.93727612    
27 Mar 2029 22:48:28.279    27 Mar 2029 22:52:55.369      267.09083968    
28 Mar 2029 00:26:34.113    28 Mar 2029 00:30:03.547      209.43338047    
28 Mar 2029 05:22:04.932    28 Mar 2029 05:26:17.074      252.14238174    
28 Mar 2029 06:59:52.420    28 Mar 2029 07:03:19.505      207.08497708    
28 Mar 2029 22:22:58.698    28 Mar 2029 22:27:10.030      251.33148824    
29 Mar 2029 00:00:43.387    29 Mar 2029 00:04:30.590      227.20257158    
29 Mar 2029 04:56:30.112    29 Mar 2029 05:00:28.425      238.31265044    
29 Mar 2029 06:34:02.073    29 Mar 2029 06:37:54.710      232.63736030    
29 Mar 2029 21:57:29.919    29 Mar 2029 22:01:20.725      230.80689126    
29 Mar 2029 23:34:52.173    29 Mar 2029 23:38:54.885      242.71130579    
30 Mar 2029 04:30:54.236    30 Mar 2029 04:34:36.498      222.26122781    
30 Mar 2029 06:08:12.503    30 Mar 2029 06:12:24.814      252.31099189    
30 Mar 2029 21:32:02.785    30 Mar 2029 21:35:26.635      203.85013463    
30 Mar 2029 23:09:00.375    30 Mar 2029 23:13:16.558      256.18290907    
31 Mar 2029 04:05:17.474    31 Mar 2029 04:08:41.137      203.66239299    
31 Mar 2029 05:42:23.018    31 Mar 2029 05:46:50.515      267.49647172    
31 Mar 2029 21:06:38.991    31 Mar 2029 21:09:26.081      167.09085025    
31 Mar 2029 22:43:07.943    31 Mar 2029 22:47:35.686      267.74298926    
01 Apr 2029 03:39:40.107    01 Apr 2029 03:42:42.075      181.96772056    
01 Apr 2029 05:16:33.207    01 Apr 2029 05:21:12.225      279.01868562    
01 Apr 2029 20:41:23.432    01 Apr 2029 20:43:14.183      110.75155145    
01 Apr 2029 22:17:14.857    01 Apr 2029 22:21:52.309      277.45261806    
02 Apr 2029 03:14:02.642    02 Apr 2029 03:16:38.812      156.16977504    
02 Apr 2029 04:50:42.799    02 Apr 2029 04:55:30.211      287.41181865    
02 Apr 2029 21:51:21.115    02 Apr 2029 21:56:06.441      285.32575951    
03 Apr 2029 02:48:26.172    03 Apr 2029 02:50:30.263      124.09065852    
03 Apr 2029 04:24:51.607    03 Apr 2029 04:29:44.648      293.04138604    
03 Apr 2029 21:25:26.734    03 Apr 2029 21:30:18.073      291.33822375    
04 Apr 2029 02:22:54.089    04 Apr 2029 02:24:13.037      78.948047315    
04 Apr 2029 03:58:59.494    04 Apr 2029 04:03:55.660      296.16579954    
04 Apr 2029 20:59:31.743    04 Apr 2029 21:04:27.175      295.43135308    
05 Apr 2029 03:33:06.357    05 Apr 2029 03:38:03.327      296.97014918    
05 Apr 2029 20:33:36.186    05 Apr 2029 20:38:33.698      297.51179405    
06 Apr 2029 03:07:12.118    06 Apr 2029 03:12:07.704      295.58566539    
06 Apr 2029 20:07:40.122    06 Apr 2029 20:12:37.570      297.44760742    
06 Apr 2029 21:47:36.427    06 Apr 2029 21:48:31.383      54.956108134    
07 Apr 2029 02:41:16.717    07 Apr 2029 02:46:08.818      292.10096510    
07 Apr 2029 19:41:43.634    07 Apr 2029 19:46:38.694      295.06011754    
07 Apr 2029 21:21:06.258    07 Apr 2029 21:22:57.356      111.09868514    
08 Apr 2029 02:15:20.113    08 Apr 2029 02:20:06.681      286.56798522    
08 Apr 2029 19:15:46.829    08 Apr 2029 19:20:36.938      290.10976941    
08 Apr 2029 20:54:44.552    08 Apr 2029 20:57:11.528      146.97523189    
09 Apr 2029 01:49:22.277    09 Apr 2029 01:54:01.281      279.00382293    
09 Apr 2029 03:28:14.773    09 Apr 2029 03:29:33.811      79.038007976    
09 Apr 2029 18:49:49.857    09 Apr 2029 18:54:32.130      282.27228929    
09 Apr 2029 20:28:25.002    09 Apr 2029 20:31:20.196      175.19306692    
10 Apr 2029 01:23:23.200    10 Apr 2029 01:27:52.589      269.38869297    
10 Apr 2029 03:01:38.921    10 Apr 2029 03:04:10.730      151.80856981    
10 Apr 2029 18:23:52.931    10 Apr 2029 18:28:24.028      271.09751838    
10 Apr 2029 20:02:06.094    10 Apr 2029 20:05:24.861      198.76719002    
11 Apr 2029 00:57:22.895    11 Apr 2029 01:01:40.554      257.65914295    
11 Apr 2029 02:35:15.913    11 Apr 2029 02:38:30.260      194.34634137    
11 Apr 2029 17:57:56.360    11 Apr 2029 18:02:12.294      255.93387194    
11 Apr 2029 19:35:47.193    11 Apr 2029 19:39:26.143      218.94974532    
12 Apr 2029 00:31:21.401    12 Apr 2029 00:35:25.095      243.69406519    
12 Apr 2029 02:08:56.715    12 Apr 2029 02:12:41.387      224.67139817    
12 Apr 2029 17:32:00.632    12 Apr 2029 17:35:56.409      235.77615117    
12 Apr 2029 19:09:27.975    12 Apr 2029 19:13:24.347      236.37203659    
13 Apr 2029 00:05:18.801    13 Apr 2029 00:09:06.089      227.28804342    
13 Apr 2029 01:42:38.977    13 Apr 2029 01:46:46.412      247.43549405    
13 Apr 2029 17:06:06.589    13 Apr 2029 17:09:35.501      208.91232491    
13 Apr 2029 18:43:08.256    13 Apr 2029 18:47:19.636      251.37964039    
13 Apr 2029 23:39:15.249    13 Apr 2029 23:42:43.349      208.09936569    
14 Apr 2029 01:16:21.637    14 Apr 2029 01:20:46.349      264.71186100    
14 Apr 2029 16:40:15.940    14 Apr 2029 16:43:07.834      171.89355599    
14 Apr 2029 18:16:47.934    14 Apr 2029 18:21:12.097      264.16289307    
14 Apr 2029 23:13:11.022    14 Apr 2029 23:16:16.562      185.54003667    
15 Apr 2029 00:50:04.104    15 Apr 2029 00:54:41.745      277.64122314    
15 Apr 2029 16:14:33.631    15 Apr 2029 16:16:28.436      114.80493107    
15 Apr 2029 17:50:26.951    15 Apr 2029 17:55:01.767      274.81632144    
15 Apr 2029 22:47:06.656    15 Apr 2029 22:49:45.164      158.50749370    
16 Apr 2029 00:23:46.002    16 Apr 2029 00:28:32.930      286.92759810    
16 Apr 2029 17:24:05.287    16 Apr 2029 17:28:48.655      283.36803589    
16 Apr 2029 22:21:03.368    16 Apr 2029 22:23:07.918      124.55007692    
16 Apr 2029 23:57:27.080    17 Apr 2029 00:02:20.117      293.03652191    
17 Apr 2029 16:57:42.946    17 Apr 2029 17:02:32.741      289.79430391    
17 Apr 2029 21:55:05.229    17 Apr 2029 21:56:20.735      75.505575479    
17 Apr 2029 23:31:07.160    17 Apr 2029 23:36:03.449      296.28848199    
18 Apr 2029 16:31:19.962    18 Apr 2029 16:36:13.987      294.02558408    
18 Apr 2029 23:04:46.116    18 Apr 2029 23:09:43.024      296.90776770    
19 Apr 2029 16:04:56.389    19 Apr 2029 16:09:52.335      295.94651260    
19 Apr 2029 22:38:23.859    19 Apr 2029 22:43:18.908      295.04955509    
20 Apr 2029 15:38:32.313    20 Apr 2029 15:43:27.703      295.39038821    
20 Apr 2029 17:18:18.806    20 Apr 2029 17:19:25.286      66.479937010    
20 Apr 2029 22:12:00.331    20 Apr 2029 22:16:51.146      290.81497423    


Number of events : 106
