Target: DefaultSC

Observer: GroundStation2
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
21 Mar 2029 00:09:19.737    21 Mar 2029 00:12:25.132      185.39519424    
21 Mar 2029 01:46:34.953    21 Mar 2029 01:50:02.148      207.19525045    
21 Mar 2029 08:22:12.123    21 Mar 2029 08:26:39.375      267.25217487    
21 Mar 2029 23:44:22.650    21 Mar 2029 23:46:36.279      133.62903498    
22 Mar 2029 01:20:55.189    22 Mar 2029 01:24:46.595      231.40585043    
22 Mar 2029 07:56:52.058    22 Mar 2029 08:01:04.530      252.47203445    
23 Mar 2029 00:55:16.084    23 Mar 2029 00:59:27.078      250.99467686    
23 Mar 2029 07:31:31.623    23 Mar 2029 07:35:25.485      233.86116300    
23 Mar 2029 09:09:56.802    23 Mar 2029 09:11:39.867      103.06552174    
24 Mar 2029 00:29:37.239    24 Mar 2029 00:34:04.023      266.78381246    
24 Mar 2029 07:06:11.252    24 Mar 2029 07:09:41.815      210.56258250    
24 Mar 2029 08:43:57.225    24 Mar 2029 08:46:44.336      167.11003014    
25 Mar 2029 00:03:58.440    25 Mar 2029 00:08:37.670      279.23011734    
25 Mar 2029 06:40:51.752    25 Mar 2029 06:43:52.723      180.97088618    
25 Mar 2029 08:18:07.395    25 Mar 2029 08:21:34.644      207.24980815    
25 Mar 2029 23:38:19.576    25 Mar 2029 23:43:08.160      288.58452528    
26 Mar 2029 06:15:34.943    26 Mar 2029 06:17:56.400      141.45710275    
26 Mar 2029 07:52:21.009    26 Mar 2029 07:56:17.107      236.09794836    
26 Mar 2029 23:12:40.603    26 Mar 2029 23:17:35.566      294.96357876    
27 Mar 2029 05:50:27.476    27 Mar 2029 05:51:46.210      78.734549554    
27 Mar 2029 07:26:36.122    27 Mar 2029 07:30:53.680      257.55795285    
27 Mar 2029 22:47:01.526    27 Mar 2029 22:51:59.908      298.38235768    
28 Mar 2029 07:00:51.826    28 Mar 2029 07:05:25.279      273.45364684    
28 Mar 2029 22:21:22.395    28 Mar 2029 22:26:21.162      298.76647348    
29 Mar 2029 06:35:07.618    29 Mar 2029 06:39:52.416      284.79740132    
29 Mar 2029 21:55:43.305    29 Mar 2029 22:00:39.254      295.94913090    
30 Mar 2029 06:09:23.195    30 Mar 2029 06:14:15.396      292.20099788    
30 Mar 2029 21:30:04.401    30 Mar 2029 21:34:54.054      289.65294793    
31 Mar 2029 05:43:38.364    31 Mar 2029 05:48:34.409      296.04491594    
31 Mar 2029 21:04:25.906    31 Mar 2029 21:09:05.356      279.45003669    
01 Apr 2029 05:17:53.009    01 Apr 2029 05:22:49.567      296.55744302    
01 Apr 2029 20:38:48.151    01 Apr 2029 20:43:12.833      264.68247038    
01 Apr 2029 22:18:12.060    01 Apr 2029 22:19:06.322      54.262748512    
02 Apr 2029 04:52:07.066    02 Apr 2029 04:57:00.919      293.85263849    
02 Apr 2029 20:13:11.664    02 Apr 2029 20:17:15.960      244.29627853    
02 Apr 2029 21:51:41.346    02 Apr 2029 21:53:53.504      132.15770577    
03 Apr 2029 04:26:20.520    03 Apr 2029 04:31:08.465      287.94518398    
03 Apr 2029 19:47:37.365    03 Apr 2029 19:51:13.814      216.44805808    
03 Apr 2029 21:25:26.118    03 Apr 2029 21:28:22.165      176.04660785    
04 Apr 2029 04:00:33.401    04 Apr 2029 04:05:12.148      278.74795779    
04 Apr 2029 19:22:07.153    04 Apr 2029 19:25:04.486      177.33272100    
04 Apr 2029 20:59:15.178    04 Apr 2029 21:02:43.498      208.32027860    
05 Apr 2029 03:34:45.800    05 Apr 2029 03:39:11.850      266.05068238    
05 Apr 2029 18:56:46.722    05 Apr 2029 18:58:42.270      115.54768849    
05 Apr 2029 20:33:06.226    05 Apr 2029 20:36:59.794      233.56801966    
06 Apr 2029 03:08:57.892    06 Apr 2029 03:13:07.361      249.46892699    
06 Apr 2029 20:06:58.324    06 Apr 2029 20:11:11.972      253.64714249    
07 Apr 2029 02:43:09.993    07 Apr 2029 02:46:58.326      228.33307930    
07 Apr 2029 04:21:19.532    07 Apr 2029 04:23:27.314      127.78185254    
07 Apr 2029 19:40:51.000    07 Apr 2029 19:45:20.483      269.48286491    
08 Apr 2029 02:17:22.689    08 Apr 2029 02:20:44.116      201.42726222    
08 Apr 2029 03:54:55.235    08 Apr 2029 03:57:59.726      184.49035040    
08 Apr 2029 19:14:43.991    08 Apr 2029 19:19:25.561      281.57065673    
09 Apr 2029 01:51:37.209    09 Apr 2029 01:54:23.456      166.24763415    
09 Apr 2029 03:28:38.462    09 Apr 2029 03:32:20.133      221.67179792    
09 Apr 2029 18:48:37.154    09 Apr 2029 18:53:27.319      290.16499976    
10 Apr 2029 01:25:56.977    10 Apr 2029 01:27:52.872      115.89482313    
10 Apr 2029 03:02:24.663    10 Apr 2029 03:06:33.036      248.37276328    
