Target: DefaultSC

Observer: GroundStation3
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
21 Mar 2029 01:49:10.623    21 Mar 2029 01:50:46.163      95.539801894    
21 Mar 2029 03:27:14.785    21 Mar 2029 03:27:53.653      38.868400874    
21 Mar 2029 08:20:44.169    21 Mar 2029 08:22:45.144      120.97439223    
22 Mar 2029 01:24:03.878    22 Mar 2029 01:25:04.349      60.471140267    
22 Mar 2029 03:01:31.038    22 Mar 2029 03:02:41.984      70.946102310    
22 Mar 2029 07:55:12.603    22 Mar 2029 07:57:25.969      133.36596214    
23 Mar 2029 02:35:51.156    23 Mar 2029 02:37:22.864      91.708399798    
23 Mar 2029 07:29:40.873    23 Mar 2029 07:32:02.571      141.69761203    
24 Mar 2029 02:10:11.929    24 Mar 2029 02:11:59.547      107.61800314    
24 Mar 2029 07:04:08.564    24 Mar 2029 07:06:35.387      146.82310098    
25 Mar 2029 01:44:32.542    25 Mar 2029 01:46:32.890      120.34854790    
25 Mar 2029 06:38:35.439    25 Mar 2029 06:41:04.678      149.23850574    
26 Mar 2029 01:18:52.677    26 Mar 2029 01:21:03.256      130.57956387    
26 Mar 2029 06:13:01.360    26 Mar 2029 06:15:30.608      149.24785366    
27 Mar 2029 00:53:12.201    27 Mar 2029 00:55:30.820      138.61860854    
27 Mar 2029 05:47:26.247    27 Mar 2029 05:49:53.280      147.03353914    
28 Mar 2029 00:27:31.075    28 Mar 2029 00:29:55.663      144.58749087    
28 Mar 2029 05:21:50.069    28 Mar 2029 05:24:12.755      142.68636428    
29 Mar 2029 00:01:49.316    29 Mar 2029 00:04:17.807      148.49138082    
29 Mar 2029 04:56:12.835    29 Mar 2029 04:58:29.047      136.21247720    
29 Mar 2029 23:36:06.985    29 Mar 2029 23:38:37.228      150.24318370    
30 Mar 2029 04:30:34.603    30 Mar 2029 04:32:42.122      127.51940174    
30 Mar 2029 23:10:24.186    30 Mar 2029 23:12:53.850      149.66342580    
31 Mar 2029 04:04:55.501    31 Mar 2029 04:06:51.872      116.37018453    
31 Mar 2029 22:44:41.081    31 Mar 2029 22:47:07.539      146.45807894    
01 Apr 2029 03:39:15.789    01 Apr 2029 03:40:58.054      102.26512343    
01 Apr 2029 22:18:57.910    01 Apr 2029 22:21:18.074      140.16331796    
02 Apr 2029 03:13:36.026    02 Apr 2029 03:15:00.124      84.098058357    
