Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 19:54:16.883    01 Jan 2029 20:00:26.503      369.61986891    
01 Jan 2029 21:30:03.718    01 Jan 2029 21:35:53.069      349.35135206    
01 Jan 2029 23:06:45.749    01 Jan 2029 23:11:35.569      289.81994907    
02 Jan 2029 00:42:33.405    02 Jan 2029 00:48:15.171      341.76562104    
02 Jan 2029 02:17:58.671    02 Jan 2029 02:24:09.644      370.97332289    
02 Jan 2029 18:59:50.712    02 Jan 2029 19:05:05.864      315.15175004    
02 Jan 2029 20:34:39.809    02 Jan 2029 20:40:52.944      373.13446775    
02 Jan 2029 22:11:17.381    02 Jan 2029 22:16:19.102      301.72142847    
02 Jan 2029 23:47:29.094    02 Jan 2029 23:52:42.053      312.95969073    
03 Jan 2029 01:22:52.085    03 Jan 2029 01:29:09.094      377.00944265    
03 Jan 2029 02:59:03.010    03 Jan 2029 03:03:14.061      251.05110132    
03 Jan 2029 18:06:19.267    03 Jan 2029 18:08:53.743      154.47656668    
03 Jan 2029 19:39:24.411    03 Jan 2029 19:45:44.768      380.35767088    
03 Jan 2029 21:15:38.189    03 Jan 2029 21:21:05.974      327.78517578    
03 Jan 2029 22:52:11.300    03 Jan 2029 22:57:04.021      292.72037999    
04 Jan 2029 00:27:44.275    04 Jan 2029 00:33:44.648      360.37318802    
04 Jan 2029 02:03:18.758    04 Jan 2029 02:09:03.336      344.57768899    
04 Jan 2029 18:44:24.643    04 Jan 2029 18:50:22.884      358.24106759    
04 Jan 2029 20:19:55.575    04 Jan 2029 20:25:52.345      356.77025701    
04 Jan 2029 21:56:37.133    04 Jan 2029 22:01:27.745      290.61198046    
04 Jan 2029 23:32:30.388    04 Jan 2029 23:38:02.771      332.38342364    
05 Jan 2029 01:07:52.393    05 Jan 2029 01:14:07.884      375.49109379    
05 Jan 2029 17:49:52.764    05 Jan 2029 17:54:35.922      283.15756316    
05 Jan 2029 19:24:16.857    05 Jan 2029 19:30:33.729      376.87224388    
05 Jan 2029 21:00:48.027    05 Jan 2029 21:05:55.917      307.88980775    
05 Jan 2029 22:37:05.880    05 Jan 2029 22:42:10.504      304.62436862    
