Target: DefaultSC

Observer: GroundStation2
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 18:19:19.273    01 Jan 2029 18:23:25.745      246.47259631    
02 Jan 2029 02:22:46.279    02 Jan 2029 02:26:49.704      243.42552850    
02 Jan 2029 17:25:10.694    02 Jan 2029 17:27:44.240      153.54589474    
02 Jan 2029 19:01:15.504    02 Jan 2029 19:02:35.669      80.165946437    
03 Jan 2029 01:28:00.786    03 Jan 2029 01:31:22.499      201.71273014    
03 Jan 2029 18:04:42.939    03 Jan 2029 18:08:34.389      231.45042937    
04 Jan 2029 02:08:14.396    04 Jan 2029 02:11:36.944      202.54787165    
04 Jan 2029 17:09:27.275    04 Jan 2029 17:13:22.910      235.63477350    
05 Jan 2029 01:12:42.316    05 Jan 2029 01:16:44.345      242.02862273    
05 Jan 2029 17:50:15.492    05 Jan 2029 17:52:52.026      156.53406784    
06 Jan 2029 00:17:54.996    06 Jan 2029 00:20:36.452      161.45610788    
06 Jan 2029 16:53:59.435    06 Jan 2029 16:58:03.046      243.61114815    
07 Jan 2029 00:57:20.145    07 Jan 2029 01:01:09.423      229.27801106    
07 Jan 2029 15:58:46.895    07 Jan 2029 16:02:16.965      210.07016099    
08 Jan 2029 00:01:45.986    08 Jan 2029 00:05:35.780      229.79380268    
08 Jan 2029 16:38:35.007    08 Jan 2029 16:41:55.895      200.88755577    
08 Jan 2029 23:07:11.497    08 Jan 2029 23:08:30.981      79.484067403    
09 Jan 2029 00:42:05.103    09 Jan 2029 00:44:26.879      141.77606790    
09 Jan 2029 15:42:24.531    09 Jan 2029 15:46:29.776      245.24506606    
09 Jan 2029 23:45:34.352    09 Jan 2029 23:49:36.286      241.93424962    
10 Jan 2029 14:47:23.426    10 Jan 2029 14:50:00.405      156.97904223    
10 Jan 2029 16:23:36.698    10 Jan 2029 16:24:37.817      61.119374656    
10 Jan 2029 22:49:57.669    10 Jan 2029 22:53:20.503      202.83409457    
11 Jan 2029 15:26:05.061    11 Jan 2029 15:29:54.173      229.11163542    
11 Jan 2029 23:29:18.103    11 Jan 2029 23:32:40.018      201.91513865    
12 Jan 2029 14:29:59.129    12 Jan 2029 14:33:51.700      232.57127423    
12 Jan 2029 22:32:55.538    12 Jan 2029 22:36:56.104      240.56585468    
13 Jan 2029 15:09:48.372    13 Jan 2029 15:12:29.522      161.14946476    
13 Jan 2029 21:37:20.846    13 Jan 2029 21:39:52.257      151.41066222    
14 Jan 2029 14:12:43.959    14 Jan 2029 14:16:47.005      243.04527916    
14 Jan 2029 22:15:45.320    14 Jan 2029 22:19:37.795      232.47485992    
15 Jan 2029 13:16:46.706    15 Jan 2029 13:20:03.999      197.29238724    
15 Jan 2029 21:19:23.707    15 Jan 2029 21:23:06.533      222.82653762    
