Target: DefaultSC

Observer: GroundStation3
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 19:57:29.717    01 Jan 2029 19:59:31.447      121.72973917    
02 Jan 2029 00:45:58.599    02 Jan 2029 00:47:21.775      83.176418440    
02 Jan 2029 19:02:53.538    02 Jan 2029 19:04:07.183      73.645037517    
03 Jan 2029 01:26:18.542    03 Jan 2029 01:27:51.092      92.549973261    
03 Jan 2029 19:42:59.230    03 Jan 2029 19:44:36.634      97.404456208    
04 Jan 2029 00:30:56.815    04 Jan 2029 00:32:54.776      117.96064563    
04 Jan 2029 18:47:30.724    04 Jan 2029 18:49:30.522      119.79789804    
04 Jan 2029 23:36:10.776    04 Jan 2029 23:36:57.601      46.825338202    
06 Jan 2029 00:15:46.463    06 Jan 2029 00:17:38.603      112.14078589    
06 Jan 2029 18:32:12.097    06 Jan 2029 18:34:04.738      112.64169911    
06 Jan 2029 23:20:19.111    06 Jan 2029 23:22:06.584      107.47301392    
07 Jan 2029 17:36:40.602    07 Jan 2029 17:38:28.590      107.98756806    
08 Jan 2029 00:00:54.655    08 Jan 2029 00:01:05.261      10.605291626    
08 Jan 2029 18:16:50.737    08 Jan 2029 18:17:55.163      64.425599179    
08 Jan 2029 23:04:22.314    08 Jan 2029 23:06:22.237      119.92217914    
09 Jan 2029 17:20:31.670    09 Jan 2029 17:22:32.024      120.35315051    
09 Jan 2029 22:08:48.236    09 Jan 2029 22:10:14.467      86.231399607    
10 Jan 2029 16:25:03.267    10 Jan 2029 16:26:19.498      76.231289143    
10 Jan 2029 22:48:17.152    10 Jan 2029 22:49:46.922      89.769913908    
11 Jan 2029 17:04:17.218    11 Jan 2029 17:05:53.305      96.087017481    
11 Jan 2029 21:52:03.953    11 Jan 2029 21:54:01.287      117.33393723    
12 Jan 2029 16:07:57.995    12 Jan 2029 16:09:56.439      118.44400212    
12 Jan 2029 20:56:29.788    12 Jan 2029 20:57:10.165      40.377158846    
13 Jan 2029 21:35:07.267    13 Jan 2029 21:37:00.736      113.46948424    
14 Jan 2029 15:50:51.768    14 Jan 2029 15:52:45.763      113.99449899    
14 Jan 2029 20:38:50.796    14 Jan 2029 20:40:34.015      103.21912462    
15 Jan 2029 14:54:33.314    15 Jan 2029 14:56:14.398      101.08425576    
15 Jan 2029 21:18:09.797    15 Jan 2029 21:19:00.776      50.979277084    
16 Jan 2029 15:33:37.513    16 Jan 2029 15:34:53.515      76.002251962    
16 Jan 2029 20:21:05.071    16 Jan 2029 20:23:04.743      119.67188723    
17 Jan 2029 14:36:32.992    17 Jan 2029 14:38:33.115      120.12274791    
17 Jan 2029 19:24:44.977    17 Jan 2029 19:25:56.702      71.725085273    
18 Jan 2029 13:40:31.123    18 Jan 2029 13:41:11.843      40.719609149    
18 Jan 2029 20:03:05.897    18 Jan 2029 20:04:48.799      102.90131742    
19 Jan 2029 14:18:24.442    19 Jan 2029 14:20:10.145      105.70208584    
19 Jan 2029 19:06:08.589    19 Jan 2029 19:07:59.721      111.13111807    
20 Jan 2029 13:21:22.794    20 Jan 2029 13:23:13.343      110.54917218    
21 Jan 2029 14:00:08.458    21 Jan 2029 14:01:03.966      55.508267367    
21 Jan 2029 18:47:18.269    21 Jan 2029 18:49:16.844      118.57473560    
22 Jan 2029 13:02:20.250    22 Jan 2029 13:04:18.943      118.69322910    
22 Jan 2029 17:50:19.062    22 Jan 2029 17:51:43.686      84.623353800    
23 Jan 2029 12:05:29.638    23 Jan 2029 12:06:38.250      68.612309522    
23 Jan 2029 18:28:14.638    23 Jan 2029 18:29:47.367      92.728909501    
24 Jan 2029 12:43:06.302    24 Jan 2029 12:44:45.171      98.868908384    
24 Jan 2029 17:30:38.384    24 Jan 2029 17:32:32.674      114.29003746    
25 Jan 2029 11:45:25.692    25 Jan 2029 11:47:19.420      113.72834580    
26 Jan 2029 12:23:46.514    26 Jan 2029 12:24:25.652      39.137632528    
26 Jan 2029 17:10:41.296    26 Jan 2029 17:12:38.264      116.96813819    
27 Jan 2029 11:25:17.036    27 Jan 2029 11:27:14.099      117.06273635    
27 Jan 2029 16:13:06.097    27 Jan 2029 16:14:35.319      89.222298504    
28 Jan 2029 10:27:48.297    28 Jan 2029 10:29:03.836      75.538898259    
28 Jan 2029 16:50:30.172    28 Jan 2029 16:51:57.707      87.535368407    
29 Jan 2029 11:04:54.552    29 Jan 2029 11:06:30.381      95.829002385    
29 Jan 2029 15:52:17.778    29 Jan 2029 15:54:12.546      114.76763212    
30 Jan 2029 10:06:38.463    30 Jan 2029 10:08:32.152      113.68883152    
31 Jan 2029 10:44:24.576    31 Jan 2029 10:45:00.605      36.028809682    
31 Jan 2029 15:31:10.891    31 Jan 2029 15:33:07.428      116.53682389    
01 Feb 2029 09:45:19.538    01 Feb 2029 09:47:16.049      116.51109166    


Number of events : 58
