Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 18:29:12.753    01 Jan 2029 18:34:32.106      319.35244108    
01 Jan 2029 20:05:19.782    01 Jan 2029 20:12:54.423      454.64038190    
01 Jan 2029 21:43:52.260    01 Jan 2029 21:50:34.102      401.84177910    
01 Jan 2029 23:22:31.401    01 Jan 2029 23:28:58.256      386.85539891    
02 Jan 2029 01:00:18.127    02 Jan 2029 01:07:43.743      445.61552075    
02 Jan 2029 02:38:15.013    02 Jan 2029 02:44:45.405      390.39146716    
02 Jan 2029 18:06:15.794    02 Jan 2029 18:11:17.613      301.81941470    
02 Jan 2029 19:42:11.524    02 Jan 2029 19:49:46.225      454.70112356    
02 Jan 2029 21:20:40.816    02 Jan 2029 21:27:25.325      404.50847562    
02 Jan 2029 22:59:21.759    02 Jan 2029 23:05:46.946      385.18658284    
03 Jan 2029 00:37:09.872    03 Jan 2029 00:44:33.739      443.86755164    
03 Jan 2029 02:15:03.876    03 Jan 2029 02:21:42.733      398.85773429    
03 Jan 2029 17:43:18.852    03 Jan 2029 17:48:00.801      281.94947244    
03 Jan 2029 19:19:02.247    03 Jan 2029 19:26:36.694      454.44775382    
03 Jan 2029 20:57:28.103    03 Jan 2029 21:04:15.359      407.25539356    
03 Jan 2029 22:36:10.724    03 Jan 2029 22:42:34.409      383.68553203    
04 Jan 2029 00:14:00.349    04 Jan 2029 00:21:22.280      441.93111324    
04 Jan 2029 01:51:51.761    04 Jan 2029 01:58:38.299      406.53755050    
04 Jan 2029 17:20:22.215    04 Jan 2029 17:24:41.372      259.15701409    
04 Jan 2029 18:55:51.958    04 Jan 2029 19:03:25.815      453.85705061    
04 Jan 2029 20:34:14.125    04 Jan 2029 20:41:04.193      410.06814170    
04 Jan 2029 22:12:58.285    04 Jan 2029 22:19:20.650      382.36473697    
04 Jan 2029 23:50:49.546    04 Jan 2029 23:58:09.365      439.81947588    
05 Jan 2029 01:28:38.635    05 Jan 2029 01:35:32.119      413.48380978    
05 Jan 2029 16:57:26.336    05 Jan 2029 17:01:18.865      232.52895714    
05 Jan 2029 18:32:40.666    05 Jan 2029 18:40:13.570      452.90440258    
05 Jan 2029 20:10:58.885    05 Jan 2029 20:17:51.817      412.93162541    
05 Jan 2029 21:49:44.435    05 Jan 2029 21:56:05.671      381.23585681    
05 Jan 2029 23:27:37.449    05 Jan 2029 23:34:54.996      437.54635592    
06 Jan 2029 01:05:24.468    06 Jan 2029 01:12:24.211      419.74243261    
06 Jan 2029 16:34:32.004    06 Jan 2029 16:37:52.482      200.47754429    
06 Jan 2029 18:09:28.380    06 Jan 2029 18:16:59.943      451.56362172    
06 Jan 2029 19:47:42.391    06 Jan 2029 19:54:38.221      415.83005881    
06 Jan 2029 21:26:29.164    06 Jan 2029 21:32:49.474      380.30955330    
06 Jan 2029 23:04:24.048    06 Jan 2029 23:11:39.174      435.12594150    
07 Jan 2029 00:42:09.233    07 Jan 2029 00:49:14.587      425.35373478    
07 Jan 2029 16:11:40.875    07 Jan 2029 16:14:20.563      159.68748535    
07 Jan 2029 17:46:15.111    07 Jan 2029 17:53:44.918      449.80671834    
