Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 16:53:10.060    01 Jan 2029 16:59:10.228      360.16800689    
01 Jan 2029 18:28:08.790    01 Jan 2029 18:34:45.707      396.91693846    
02 Jan 2029 02:38:42.001    02 Jan 2029 02:43:08.393      266.39236825    
02 Jan 2029 04:13:06.515    02 Jan 2029 04:20:15.701      429.18581141    
02 Jan 2029 16:29:35.589    02 Jan 2029 16:34:32.288      296.69882791    
02 Jan 2029 18:03:37.375    02 Jan 2029 18:10:40.486      423.11142648    
03 Jan 2029 02:15:15.159    03 Jan 2029 02:17:43.887      148.72816728    
03 Jan 2029 03:48:49.402    03 Jan 2029 03:56:06.454      437.05252436    
03 Jan 2029 16:06:23.861    03 Jan 2029 16:09:32.703      188.84227434    
03 Jan 2029 17:39:12.507    03 Jan 2029 17:46:29.889      437.38246750    
04 Jan 2029 03:24:34.714    04 Jan 2029 03:31:48.275      433.56111677    
04 Jan 2029 05:01:33.599    04 Jan 2029 05:04:35.257      181.65775412    
04 Jan 2029 17:14:53.808    04 Jan 2029 17:22:14.241      440.43375696    
04 Jan 2029 18:53:13.720    04 Jan 2029 18:55:50.790      157.07046638    
05 Jan 2029 03:00:22.403    05 Jan 2029 03:07:21.138      418.73550630    
05 Jan 2029 04:36:30.858    05 Jan 2029 04:41:22.350      291.49216830    
05 Jan 2029 16:50:41.337    05 Jan 2029 16:57:53.444      432.10732323    
05 Jan 2029 18:27:47.353    05 Jan 2029 18:32:18.413      271.05948046    
06 Jan 2029 02:36:12.861    06 Jan 2029 02:42:44.563      391.70161929    
06 Jan 2029 04:11:47.796    06 Jan 2029 04:17:43.242      355.44627820    
06 Jan 2029 16:26:35.606    06 Jan 2029 16:33:26.966      411.36018547    
06 Jan 2029 18:02:44.777    06 Jan 2029 18:08:23.711      338.93361693    
07 Jan 2029 02:12:07.160    07 Jan 2029 02:17:57.373      350.21252503    
07 Jan 2029 03:47:12.950    07 Jan 2029 03:53:49.408      396.45749774    
07 Jan 2029 16:02:37.801    07 Jan 2029 16:08:53.617      375.81684639    
07 Jan 2029 17:37:53.835    07 Jan 2029 17:44:18.754      384.91805904    
08 Jan 2029 01:48:07.902    08 Jan 2029 01:52:56.853      288.95096804    
08 Jan 2029 03:22:42.878    08 Jan 2029 03:29:44.279      421.40103009    
08 Jan 2029 15:38:50.528    08 Jan 2029 15:44:10.807      320.27888886    
08 Jan 2029 17:13:11.192    08 Jan 2029 17:20:06.794      415.60228269    
09 Jan 2029 01:24:23.359    09 Jan 2029 01:27:34.605      191.24621643    
09 Jan 2029 02:58:16.087    09 Jan 2029 03:05:29.318      433.23117332    
09 Jan 2029 15:15:20.983    09 Jan 2029 15:19:11.376      230.39343765    
09 Jan 2029 16:48:35.476    09 Jan 2029 16:55:49.129      433.65233158    
10 Jan 2029 02:33:51.900    10 Jan 2029 02:41:05.148      433.24738601    
10 Jan 2029 04:11:20.602    10 Jan 2029 04:13:13.767      113.16494204    
10 Jan 2029 16:24:06.125    10 Jan 2029 16:31:26.257      440.13180634    
10 Jan 2029 18:03:03.589    10 Jan 2029 18:04:31.929      88.339691015    
11 Jan 2029 02:09:30.136    11 Jan 2029 02:16:31.880      421.74365642    
11 Jan 2029 03:45:50.861    11 Jan 2029 03:50:12.454      261.59369212    
11 Jan 2029 15:59:43.068    11 Jan 2029 16:06:58.204      435.13532651    
11 Jan 2029 17:37:07.744    11 Jan 2029 17:41:10.797      243.05245040    
12 Jan 2029 01:45:11.055    12 Jan 2029 01:51:49.166      398.11094035    
12 Jan 2029 03:20:54.528    12 Jan 2029 03:26:31.086      336.55896268    
12 Jan 2029 15:35:26.683    12 Jan 2029 15:42:24.562      417.87902175    
12 Jan 2029 17:11:51.043    12 Jan 2029 17:17:12.041      320.99801057    
13 Jan 2029 01:20:55.526    13 Jan 2029 01:26:56.030      360.50467179    
13 Jan 2029 02:56:08.696    13 Jan 2029 03:02:32.585      383.88980886    
13 Jan 2029 15:11:17.952    13 Jan 2029 15:17:44.338      386.38547841    
13 Jan 2029 16:46:48.165    13 Jan 2029 16:53:00.893      372.72759823    
14 Jan 2029 00:56:45.669    14 Jan 2029 01:01:50.238      304.56844614    
14 Jan 2029 02:31:28.503    14 Jan 2029 02:38:21.808      413.30468149    
14 Jan 2029 14:47:19.029    14 Jan 2029 14:52:55.390      336.36041373    
14 Jan 2029 16:21:54.422    14 Jan 2029 16:28:41.952      407.53040118    
15 Jan 2029 00:32:47.623    15 Jan 2029 00:36:25.527      217.90346346    
15 Jan 2029 02:06:52.003    15 Jan 2029 02:14:00.673      428.66914157    
15 Jan 2029 14:23:35.393    15 Jan 2029 14:27:52.269      256.87619200    
15 Jan 2029 15:57:08.026    15 Jan 2029 16:04:16.927      428.90097213    
16 Jan 2029 01:42:18.314    16 Jan 2029 01:49:30.015      431.70089942    
16 Jan 2029 14:00:37.123    16 Jan 2029 14:02:04.948      87.825059239    
16 Jan 2029 15:32:28.224    16 Jan 2029 15:39:46.502      438.27782889    
17 Jan 2029 01:17:47.126    17 Jan 2029 01:24:50.073      422.94690282    
17 Jan 2029 02:54:19.549    17 Jan 2029 02:58:11.920      232.37026917    
17 Jan 2029 15:07:54.828    17 Jan 2029 15:15:10.814      435.98542028    
17 Jan 2029 16:45:36.331    17 Jan 2029 16:49:11.424      215.09315665    
18 Jan 2029 00:53:18.596    18 Jan 2029 01:00:00.607      402.01122661    
18 Jan 2029 02:29:09.349    18 Jan 2029 02:34:28.391      319.04215780    
18 Jan 2029 14:43:28.112    18 Jan 2029 14:50:29.553      421.44027752    
18 Jan 2029 16:20:05.060    18 Jan 2029 16:25:08.948      303.88858285    
19 Jan 2029 00:28:53.455    19 Jan 2029 00:35:00.782      367.32662546    
19 Jan 2029 02:04:12.456    19 Jan 2029 02:10:24.798      372.34173731    
19 Jan 2029 14:19:08.926    19 Jan 2029 14:25:41.856      392.93025532    
19 Jan 2029 15:54:50.338    19 Jan 2029 16:00:51.402      361.06437820    
20 Jan 2029 00:04:33.532    20 Jan 2029 00:09:48.652      315.12035845    
20 Jan 2029 01:39:22.134    20 Jan 2029 01:46:07.879      405.74525414    
20 Jan 2029 13:54:59.151    20 Jan 2029 14:00:45.848      346.69738712    
20 Jan 2029 15:29:45.663    20 Jan 2029 15:36:25.197      399.53396497    
20 Jan 2029 23:40:23.867    20 Jan 2029 23:44:19.052      235.18484604    
21 Jan 2029 01:14:35.930    21 Jan 2029 01:21:40.064      424.13446741    
21 Jan 2029 13:31:03.384    21 Jan 2029 13:35:36.959      273.57425101    
21 Jan 2029 15:04:48.781    21 Jan 2029 15:11:52.507      423.72604420    
21 Jan 2029 23:16:57.815    21 Jan 2029 23:17:58.497      60.681630915    
22 Jan 2029 00:49:52.751    22 Jan 2029 00:57:02.401      429.65007004    
22 Jan 2029 13:07:40.994    22 Jan 2029 13:09:55.873      134.87892636    
22 Jan 2029 14:39:58.744    22 Jan 2029 14:47:14.204      435.45965084    
23 Jan 2029 00:25:12.177    23 Jan 2029 00:32:15.247      423.07037894    
23 Jan 2029 02:01:55.142    23 Jan 2029 02:05:20.880      205.73786767    
23 Jan 2029 14:15:15.260    23 Jan 2029 14:22:30.527      435.26668644    
23 Jan 2029 15:53:11.367    23 Jan 2029 15:56:19.893      188.52612016    
24 Jan 2029 00:00:34.278    24 Jan 2029 00:07:18.447      404.16916382    
24 Jan 2029 01:36:30.796    24 Jan 2029 01:41:34.988      304.19224526    
24 Jan 2029 13:50:38.525    24 Jan 2029 13:57:41.242      422.71755729    
24 Jan 2029 15:27:25.259    24 Jan 2029 15:32:13.895      288.63604569    
24 Jan 2029 23:35:59.694    24 Jan 2029 23:42:11.261      371.56710173    
25 Jan 2029 01:11:22.955    25 Jan 2029 01:17:25.717      362.76265184    
25 Jan 2029 13:26:09.300    25 Jan 2029 13:32:45.571      396.27073804    
25 Jan 2029 15:01:58.934    25 Jan 2029 15:07:49.648      350.71424386    
25 Jan 2029 23:11:30.079    25 Jan 2029 23:16:51.918      321.83893716    
26 Jan 2029 00:46:22.601    26 Jan 2029 00:53:02.092      399.49133294    
26 Jan 2029 13:01:49.317    26 Jan 2029 13:07:41.787      352.46975950    
26 Jan 2029 14:36:43.590    26 Jan 2029 14:43:15.862      392.27173476    
26 Jan 2029 22:47:09.894    26 Jan 2029 22:51:15.832      245.93721303    
27 Jan 2029 00:21:26.767    27 Jan 2029 00:28:27.060      420.29299792    
27 Jan 2029 12:37:42.729    27 Jan 2029 12:42:25.764      283.03557567    
27 Jan 2029 14:11:36.479    27 Jan 2029 14:18:35.198      418.71861184    
27 Jan 2029 22:23:22.289    27 Jan 2029 22:24:59.722      97.432289366    
27 Jan 2029 23:56:34.167    28 Jan 2029 00:03:41.870      427.70203224    
28 Jan 2029 12:14:05.265    28 Jan 2029 12:16:41.823      156.55772713    
28 Jan 2029 13:46:36.474    28 Jan 2029 13:53:48.710      432.23674066    
28 Jan 2029 23:31:44.282    28 Jan 2029 23:38:46.976      422.69395553    
29 Jan 2029 01:08:35.642    29 Jan 2029 01:11:39.922      184.28017062    
29 Jan 2029 13:21:43.190    29 Jan 2029 13:28:56.725      433.53534556    
29 Jan 2029 14:59:50.931    29 Jan 2029 15:02:36.307      165.37610397    
29 Jan 2029 23:06:57.121    29 Jan 2029 23:13:42.290      405.16875763    
30 Jan 2029 00:42:57.552    30 Jan 2029 00:47:50.835      293.28288669    
30 Jan 2029 12:56:56.768    30 Jan 2029 13:03:59.062      422.29449236    
30 Jan 2029 14:33:50.205    30 Jan 2029 14:38:26.577      276.37169956    
30 Jan 2029 22:42:13.264    30 Jan 2029 22:48:27.126      373.86191678    
31 Jan 2029 00:17:39.121    31 Jan 2029 00:23:35.109      355.98745504    
31 Jan 2029 12:32:17.923    31 Jan 2029 12:38:54.988      397.06559926    
31 Jan 2029 14:08:12.726    31 Jan 2029 14:13:55.192      342.46680443    
31 Jan 2029 22:17:34.279    31 Jan 2029 22:22:59.805      325.52564425    
31 Jan 2029 23:52:28.962    31 Jan 2029 23:59:04.137      395.17524949    


Number of events : 123
