Target: DefaultSC

Observer: GroundStation2
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 18:28:40.215    01 Jan 2029 18:33:17.400      277.18580856    
02 Jan 2029 01:06:01.093    02 Jan 2029 01:09:28.103      207.01015728    
02 Jan 2029 02:43:46.660    02 Jan 2029 02:46:53.687      187.02685470    
02 Jan 2029 18:05:27.929    02 Jan 2029 18:10:12.412      284.48341565    
03 Jan 2029 00:43:00.757    03 Jan 2029 00:46:08.796      188.03833961    
03 Jan 2029 02:20:27.890    03 Jan 2029 02:23:58.618      210.72794446    
03 Jan 2029 17:42:15.107    03 Jan 2029 17:47:05.674      290.56748261    
04 Jan 2029 00:20:00.809    04 Jan 2029 00:22:46.268      165.45845366    
04 Jan 2029 01:57:09.908    04 Jan 2029 02:00:59.994      230.08600023    
04 Jan 2029 17:19:01.732    04 Jan 2029 17:23:57.193      295.46094675    
04 Jan 2029 23:57:02.090    04 Jan 2029 23:59:19.662      137.57194164    
05 Jan 2029 01:33:52.187    05 Jan 2029 01:37:58.326      246.13860471    
05 Jan 2029 16:55:47.797    05 Jan 2029 17:00:46.967      299.17017811    
05 Jan 2029 23:34:06.713    05 Jan 2029 23:35:46.848      100.13445171    
06 Jan 2029 01:10:34.406    06 Jan 2029 01:14:53.917      259.51072559    
06 Jan 2029 16:32:33.300    06 Jan 2029 16:37:34.986      301.68655389    
06 Jan 2029 23:11:28.011    06 Jan 2029 23:11:54.475      26.463333692    
07 Jan 2029 00:47:16.352    07 Jan 2029 00:51:46.963      270.61114315    
07 Jan 2029 16:09:18.248    07 Jan 2029 16:14:21.235      302.98701643    
08 Jan 2029 00:23:57.876    08 Jan 2029 00:28:37.598      279.72197779    
08 Jan 2029 15:46:02.658    08 Jan 2029 15:51:05.692      303.03373433    
09 Jan 2029 00:00:38.871    09 Jan 2029 00:05:25.916      287.04481419    
09 Jan 2029 15:22:46.555    09 Jan 2029 15:27:48.328      301.77283951    
09 Jan 2029 23:37:19.258    09 Jan 2029 23:42:11.984      292.72661204    
10 Jan 2029 14:59:29.973    10 Jan 2029 15:04:29.105      299.13207293    
10 Jan 2029 23:13:58.979    10 Jan 2029 23:18:55.854      296.87514586    
11 Jan 2029 14:36:12.961    11 Jan 2029 14:41:07.978      295.01703508    
11 Jan 2029 22:50:37.992    11 Jan 2029 22:55:37.561      299.56863545    
12 Jan 2029 14:12:55.583    12 Jan 2029 14:17:44.888      289.30543265    
12 Jan 2029 22:27:16.270    12 Jan 2029 22:32:17.132      300.86183497    
13 Jan 2029 13:49:37.921    13 Jan 2029 13:54:19.759      281.83828251    
13 Jan 2029 22:03:53.794    13 Jan 2029 22:08:54.584      300.78985946    
14 Jan 2029 13:26:20.086    14 Jan 2029 13:30:52.492      272.40614070    
14 Jan 2029 15:06:04.752    14 Jan 2029 15:06:47.117      42.365351517    
14 Jan 2029 21:40:30.558    14 Jan 2029 21:45:29.928      299.37038542    
15 Jan 2029 13:03:02.225    15 Jan 2029 13:07:22.952      260.72670546    
15 Jan 2029 14:42:05.216    15 Jan 2029 14:43:52.569      107.35240756    
15 Jan 2029 21:17:06.564    15 Jan 2029 21:22:03.168      296.60459562    
16 Jan 2029 12:39:44.544    16 Jan 2029 12:43:50.950      246.40630436    
16 Jan 2029 14:18:18.471    16 Jan 2029 14:20:42.957      144.48546687    
16 Jan 2029 20:53:41.824    16 Jan 2029 20:58:34.301      292.47695287    
17 Jan 2029 12:16:27.339    17 Jan 2029 12:20:16.207      228.86843743    
17 Jan 2029 13:54:35.080    17 Jan 2029 13:57:27.738      172.65808582    
17 Jan 2029 20:30:16.360    17 Jan 2029 20:35:03.314      286.95379333    
18 Jan 2029 11:53:11.074    18 Jan 2029 11:56:38.280      207.20652578    
18 Jan 2029 13:30:53.149    18 Jan 2029 13:34:08.828      195.67859784    
18 Jan 2029 20:06:50.206    18 Jan 2029 20:11:30.186      279.98042037    
19 Jan 2029 11:29:56.553    19 Jan 2029 11:32:56.383      179.82980562    
19 Jan 2029 13:07:11.905    19 Jan 2029 13:10:47.021      215.11647647    
19 Jan 2029 19:43:23.408    19 Jan 2029 19:47:54.884      271.47620899    
20 Jan 2029 11:06:45.474    20 Jan 2029 11:09:08.841      143.36661953    
20 Jan 2029 12:43:30.949    20 Jan 2029 12:47:22.739      231.79050403    
20 Jan 2029 19:19:56.029    20 Jan 2029 19:24:17.356      261.32660037    
21 Jan 2029 10:43:43.339    21 Jan 2029 10:45:10.172      86.833018251    
21 Jan 2029 12:19:50.051    21 Jan 2029 12:23:56.235      246.18356272    
21 Jan 2029 18:56:28.158    21 Jan 2029 19:00:37.528      249.37007481    
21 Jan 2029 20:35:28.032    21 Jan 2029 20:36:28.794      60.761416680    
22 Jan 2029 11:56:09.070    22 Jan 2029 12:00:27.671      258.60124991    
22 Jan 2029 18:32:59.915    22 Jan 2029 18:36:55.291      235.37612348    
22 Jan 2029 20:11:21.013    22 Jan 2029 20:13:31.636      130.62343653    
23 Jan 2029 11:32:27.913    23 Jan 2029 11:36:57.158      269.24444240    
23 Jan 2029 18:09:31.475    23 Jan 2029 18:13:10.481      219.00596609    
23 Jan 2029 19:47:27.328    23 Jan 2029 19:50:18.450      171.12244866    
24 Jan 2029 11:08:46.524    24 Jan 2029 11:13:24.771      278.24656743    
24 Jan 2029 17:46:03.104    24 Jan 2029 17:49:22.840      199.73641096    
24 Jan 2029 19:23:37.656    24 Jan 2029 19:26:58.563      200.90701100    
25 Jan 2029 10:45:04.866    25 Jan 2029 10:49:50.560      285.69425731    
25 Jan 2029 17:22:35.242    25 Jan 2029 17:25:31.936      176.69382384    
25 Jan 2029 18:59:49.835    25 Jan 2029 19:03:34.146      224.31138516    
26 Jan 2029 10:21:22.919    26 Jan 2029 10:26:14.558      291.63933262    
26 Jan 2029 16:59:08.720    26 Jan 2029 17:01:36.940      148.22018591    
26 Jan 2029 18:36:02.928    26 Jan 2029 18:40:06.137      243.20816395    
27 Jan 2029 09:57:40.675    27 Jan 2029 10:02:36.781      296.10579590    
27 Jan 2029 16:35:45.537    27 Jan 2029 16:37:35.852      110.31448664    
27 Jan 2029 18:12:16.430    27 Jan 2029 18:16:35.040      258.61051799    
28 Jan 2029 09:33:58.135    28 Jan 2029 09:38:57.229      299.09371220    
28 Jan 2029 16:12:35.664    28 Jan 2029 16:13:18.697      43.032028398    
28 Jan 2029 17:48:30.026    28 Jan 2029 17:53:01.163      271.13772479    
29 Jan 2029 09:10:15.311    29 Jan 2029 09:15:15.892      300.58087158    
29 Jan 2029 17:24:43.508    29 Jan 2029 17:29:24.706      281.19764527    
30 Jan 2029 08:46:32.221    30 Jan 2029 08:51:32.744      300.52267812    
30 Jan 2029 17:00:56.728    30 Jan 2029 17:05:45.800      289.07180229    
31 Jan 2029 08:22:48.896    31 Jan 2029 08:27:47.746      298.85029733    
31 Jan 2029 16:37:09.577    31 Jan 2029 16:42:04.536      294.95979088    
01 Feb 2029 07:59:05.376    01 Feb 2029 08:04:00.842      295.46678370    


Number of events : 85
