Target: DefaultSC

Observer: GroundStation3
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 20:09:25.853    01 Jan 2029 20:11:21.946      116.09300243    
02 Jan 2029 01:03:55.490    02 Jan 2029 01:06:25.665      150.17466919    
02 Jan 2029 19:46:13.130    02 Jan 2029 19:48:16.771      123.64066317    
03 Jan 2029 00:40:46.549    03 Jan 2029 00:43:18.010      151.46133145    
03 Jan 2029 19:22:59.690    03 Jan 2029 19:25:09.929      130.23880085    
04 Jan 2029 00:17:36.722    04 Jan 2029 00:20:08.505      151.78360390    
04 Jan 2029 18:59:45.495    04 Jan 2029 19:02:01.453      135.95777097    
04 Jan 2029 23:54:25.979    04 Jan 2029 23:56:57.167      151.18770276    
05 Jan 2029 18:36:30.522    05 Jan 2029 18:38:51.359      140.83690363    
05 Jan 2029 23:31:14.300    05 Jan 2029 23:33:44.004      149.70475937    
06 Jan 2029 18:13:14.758    06 Jan 2029 18:15:39.651      144.89303073    
06 Jan 2029 23:08:01.667    06 Jan 2029 23:10:29.020      147.35242917    
07 Jan 2029 17:49:58.202    07 Jan 2029 17:52:26.327      148.12521151    
07 Jan 2029 22:44:48.075    07 Jan 2029 22:47:12.210      144.13523366    
08 Jan 2029 17:26:40.861    08 Jan 2029 17:29:11.378      150.51713552    
08 Jan 2029 22:21:33.524    08 Jan 2029 22:23:53.568      140.04371302    
09 Jan 2029 17:03:22.749    09 Jan 2029 17:05:54.787      152.03791597    
09 Jan 2029 21:58:18.023    09 Jan 2029 22:00:33.076      135.05212530    
10 Jan 2029 16:40:03.892    10 Jan 2029 16:42:36.533      152.64152584    
10 Jan 2029 21:35:01.596    10 Jan 2029 21:37:10.710      129.11406092    
11 Jan 2029 16:16:44.322    11 Jan 2029 16:19:16.587      152.26486826    
11 Jan 2029 21:11:44.280    11 Jan 2029 21:13:46.435      122.15466489    
12 Jan 2029 15:53:24.087    12 Jan 2029 15:55:54.911      150.82413289    
12 Jan 2029 20:48:26.136    12 Jan 2029 20:50:20.193      114.05663687    
13 Jan 2029 15:30:03.247    13 Jan 2029 15:32:31.456      148.20873550    
13 Jan 2029 20:25:07.262    13 Jan 2029 20:26:51.895      104.63370122    
14 Jan 2029 15:06:41.883    14 Jan 2029 15:09:06.154      144.27135461    
14 Jan 2029 20:01:47.817    14 Jan 2029 20:03:21.392      93.575412151    
15 Jan 2029 14:43:20.103    15 Jan 2029 14:45:38.914      138.81109769    
15 Jan 2029 19:38:28.092    15 Jan 2029 19:39:48.406      80.314566381    
15 Jan 2029 21:16:25.140    15 Jan 2029 21:17:11.008      45.868150424    
16 Jan 2029 14:19:58.059    16 Jan 2029 14:22:09.603      131.54344638    
16 Jan 2029 19:15:08.710    16 Jan 2029 19:16:12.332      63.622461876    
16 Jan 2029 20:52:43.089    16 Jan 2029 20:54:02.064      78.975075809    
17 Jan 2029 13:56:35.975    17 Jan 2029 13:58:38.017      122.04187192    
17 Jan 2029 18:51:51.643    17 Jan 2029 18:52:31.218      39.574911073    
17 Jan 2029 20:29:05.990    17 Jan 2029 20:30:45.401      99.411033222    
18 Jan 2029 13:33:14.211    18 Jan 2029 13:35:03.821      109.60952636    
18 Jan 2029 15:11:52.395    18 Jan 2029 15:11:56.592      4.1962785996    
18 Jan 2029 20:05:30.314    18 Jan 2029 20:07:24.563      114.24880038    
19 Jan 2029 13:09:53.433    19 Jan 2029 13:11:26.371      92.938014306    
19 Jan 2029 14:47:57.756    19 Jan 2029 14:48:48.244      50.488163461    
19 Jan 2029 19:41:55.044    19 Jan 2029 19:44:00.586      125.54236780    
20 Jan 2029 12:46:35.252    20 Jan 2029 12:47:44.079      68.827421952    
20 Jan 2029 14:24:14.866    20 Jan 2029 14:25:25.817      70.951798127    
20 Jan 2029 19:18:19.712    20 Jan 2029 19:20:33.953      134.24104823    
21 Jan 2029 12:23:29.857    21 Jan 2029 12:23:46.780      16.923219350    
21 Jan 2029 14:00:33.367    21 Jan 2029 14:01:59.694      86.327283655    
21 Jan 2029 18:54:44.061    21 Jan 2029 18:57:04.939      140.87800995    
22 Jan 2029 13:36:52.127    22 Jan 2029 13:38:31.033      98.906126549    
22 Jan 2029 18:31:07.933    22 Jan 2029 18:33:33.721      145.78732940    
23 Jan 2029 13:13:10.726    23 Jan 2029 13:15:00.280      109.55389965    
23 Jan 2029 18:07:31.224    23 Jan 2029 18:10:00.417      149.19294328    
24 Jan 2029 12:49:28.963    24 Jan 2029 12:51:27.657      118.69440372    
24 Jan 2029 17:43:53.861    24 Jan 2029 17:46:25.112      151.25122711    
25 Jan 2029 12:25:46.731    25 Jan 2029 12:27:53.291      126.56083127    
25 Jan 2029 17:20:15.795    25 Jan 2029 17:22:47.869      152.07353424    
26 Jan 2029 12:02:03.970    26 Jan 2029 12:04:17.257      133.28724507    
26 Jan 2029 16:56:36.991    26 Jan 2029 16:59:08.730      151.73884485    
27 Jan 2029 11:38:20.650    27 Jan 2029 11:40:39.599      138.94884117    
27 Jan 2029 16:32:57.424    27 Jan 2029 16:35:27.724      150.30097577    
28 Jan 2029 11:14:36.757    28 Jan 2029 11:17:00.339      143.58172001    
28 Jan 2029 16:09:17.077    28 Jan 2029 16:11:44.869      147.79238447    
29 Jan 2029 10:50:52.289    29 Jan 2029 10:53:19.482      147.19306729    
29 Jan 2029 15:45:35.943    29 Jan 2029 15:48:00.169      144.22548821    
30 Jan 2029 10:27:07.254    30 Jan 2029 10:29:37.020      149.76616425    
30 Jan 2029 15:21:54.024    30 Jan 2029 15:24:13.615      139.59169909    
31 Jan 2029 10:03:21.669    31 Jan 2029 10:05:52.931      151.26214254    
31 Jan 2029 14:58:11.329    31 Jan 2029 15:00:25.186      133.85778330    
01 Feb 2029 09:39:35.559    01 Feb 2029 09:42:07.179      151.61917547    


Number of events : 70
