Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 21:32:24.594    01 Jan 2029 21:34:23.387      118.79363655    
01 Jan 2029 23:07:58.282    01 Jan 2029 23:11:11.153      192.87100111    
02 Jan 2029 22:11:21.834    02 Jan 2029 22:14:43.770      201.93630442    
03 Jan 2029 21:14:55.827    03 Jan 2029 21:18:04.808      188.98065652    
03 Jan 2029 22:51:30.053    03 Jan 2029 22:53:52.767      142.71408899    
04 Jan 2029 20:18:44.690    04 Jan 2029 20:21:10.929      146.23887185    
04 Jan 2029 21:54:34.521    04 Jan 2029 21:57:43.197      188.67644530    
05 Jan 2029 20:57:53.055    05 Jan 2029 21:01:17.017      203.96159267    
06 Jan 2029 20:01:21.873    06 Jan 2029 20:04:39.108      197.23449522    
06 Jan 2029 21:38:10.446    06 Jan 2029 21:40:11.912      121.46658429    
07 Jan 2029 19:05:03.365    07 Jan 2029 19:07:48.186      164.82064876    
07 Jan 2029 20:41:06.401    07 Jan 2029 20:44:07.476      181.07440163    
08 Jan 2029 18:09:15.360    08 Jan 2029 18:10:27.486      72.125174571    
08 Jan 2029 19:44:19.804    08 Jan 2029 19:47:42.757      202.95316674    
09 Jan 2029 18:47:43.791    09 Jan 2029 18:51:05.714      201.92281783    
09 Jan 2029 20:24:50.783    09 Jan 2029 20:26:18.892      88.109471987    
10 Jan 2029 17:51:19.194    10 Jan 2029 17:54:16.636      177.44190713    
10 Jan 2029 19:27:34.301    10 Jan 2029 19:30:23.666      169.36494776    
11 Jan 2029 16:55:15.608    11 Jan 2029 16:57:07.015      111.40781832    
11 Jan 2029 18:30:42.182    11 Jan 2029 18:34:00.972      198.79004338    
12 Jan 2029 17:34:01.482    12 Jan 2029 17:37:24.841      203.35883335    
13 Jan 2029 16:37:31.522    13 Jan 2029 16:40:37.075      185.55312753    
13 Jan 2029 18:13:58.813    13 Jan 2029 18:16:31.324      152.51161242    
14 Jan 2029 15:41:18.271    14 Jan 2029 15:43:32.814      134.54253020    
14 Jan 2029 17:17:00.349    14 Jan 2029 17:20:11.676      191.32652963    
15 Jan 2029 16:20:14.910    15 Jan 2029 16:23:36.715      201.80463268    
16 Jan 2029 15:23:39.987    16 Jan 2029 15:26:50.069      190.08197039    
16 Jan 2029 17:00:21.005    16 Jan 2029 17:02:29.609      128.60344365    
17 Jan 2029 14:27:19.289    17 Jan 2029 14:29:49.142      149.85325359    
17 Jan 2029 16:03:14.520    17 Jan 2029 16:06:14.879      180.35927180    
18 Jan 2029 15:06:24.059    18 Jan 2029 15:09:41.565      197.50643035    
19 Jan 2029 14:09:44.328    19 Jan 2029 14:12:56.065      191.73694752    
19 Jan 2029 15:46:43.445    19 Jan 2029 15:48:16.173      92.728310719    
20 Jan 2029 13:13:17.266    20 Jan 2029 13:15:57.554      160.28860485    
20 Jan 2029 14:49:24.954    20 Jan 2029 14:52:10.510      165.55571475    
21 Jan 2029 12:17:20.306    21 Jan 2029 12:18:29.670      69.364423666    
21 Jan 2029 13:52:28.882    21 Jan 2029 13:55:39.586      190.70457219    
22 Jan 2029 12:55:44.296    22 Jan 2029 12:58:55.414      191.11825054    
23 Jan 2029 11:59:11.417    23 Jan 2029 12:01:58.879      167.46256419    
23 Jan 2029 13:35:32.017    23 Jan 2029 13:37:58.286      146.26879964    
24 Jan 2029 11:03:00.198    24 Jan 2029 11:04:41.106      100.90812610    
24 Jan 2029 12:38:29.279    24 Jan 2029 12:41:30.894      181.61553824    
25 Jan 2029 11:41:39.602    25 Jan 2029 11:44:48.352      188.75004899    
26 Jan 2029 10:45:01.148    26 Jan 2029 10:47:53.588      172.44003575    
26 Jan 2029 12:21:36.400    26 Jan 2029 12:23:37.429      121.02912219    
27 Jan 2029 09:48:39.943    27 Jan 2029 09:50:41.661      121.71820735    
27 Jan 2029 11:24:25.094    27 Jan 2029 11:27:15.490      170.39556666    
28 Jan 2029 10:27:29.908    28 Jan 2029 10:30:34.990      185.08185041    
29 Jan 2029 09:30:45.938    29 Jan 2029 09:33:41.915      175.97716420    
29 Jan 2029 11:07:40.121    29 Jan 2029 11:09:05.677      85.556165641    
30 Jan 2029 08:34:16.500    30 Jan 2029 08:36:34.031      137.53156329    
30 Jan 2029 10:10:16.153    30 Jan 2029 10:12:53.239      157.08670359    
31 Jan 2029 09:13:14.854    31 Jan 2029 09:16:15.333      180.47816763    
01 Feb 2029 08:16:25.319    01 Feb 2029 08:19:23.930      178.61097171    


Number of events : 54
