Target: DefaultSC

Observer: GroundStation3
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 19:58:30.873    01 Jan 2029 20:00:09.047      98.174067994    
02 Jan 2029 00:46:32.074    02 Jan 2029 00:48:29.856      117.78205986    
02 Jan 2029 19:03:19.645    02 Jan 2029 19:05:19.789      120.14328379    
02 Jan 2029 23:52:04.720    02 Jan 2029 23:52:50.229      45.509672875    
04 Jan 2029 00:32:04.980    04 Jan 2029 00:33:57.440      112.45964103    
04 Jan 2029 18:48:53.831    04 Jan 2029 18:50:46.178      112.34686284    
04 Jan 2029 23:37:06.717    04 Jan 2029 23:38:55.410      108.69327800    
05 Jan 2029 17:53:54.479    05 Jan 2029 17:55:45.156      110.67764726    
06 Jan 2029 18:34:52.027    06 Jan 2029 18:35:49.925      57.898660633    
06 Jan 2029 23:22:28.819    06 Jan 2029 23:24:28.947      120.12833969    
07 Jan 2029 17:39:14.880    07 Jan 2029 17:41:15.006      120.12547245    
07 Jan 2029 22:27:38.665    07 Jan 2029 22:29:11.345      92.679800245    
08 Jan 2029 16:44:30.077    08 Jan 2029 16:45:59.660      89.582929469    
08 Jan 2029 23:08:10.705    08 Jan 2029 23:09:30.666      79.961313796    
09 Jan 2029 17:24:56.808    09 Jan 2029 17:26:24.844      88.036098063    
09 Jan 2029 22:12:50.151    09 Jan 2029 22:14:50.520      120.36912526    
10 Jan 2029 16:29:33.951    10 Jan 2029 16:31:35.584      121.63284553    
10 Jan 2029 21:18:09.592    10 Jan 2029 21:19:15.924      66.332718625    
11 Jan 2029 15:35:15.671    11 Jan 2029 15:35:54.055      38.383859082    
11 Jan 2029 21:58:16.799    11 Jan 2029 22:00:02.690      105.89098387    
12 Jan 2029 16:15:02.348    12 Jan 2029 16:16:48.648      106.30055624    
12 Jan 2029 21:03:08.516    12 Jan 2029 21:05:02.584      114.06871373    
13 Jan 2029 15:19:51.547    13 Jan 2029 15:21:47.452      115.90487544    
14 Jan 2029 16:01:00.104    14 Jan 2029 16:01:33.491      33.387327392    
14 Jan 2029 20:48:23.539    14 Jan 2029 20:50:21.557      118.01841978    
15 Jan 2029 15:05:06.453    15 Jan 2029 15:07:03.640      117.18723213    
15 Jan 2029 19:53:24.043    15 Jan 2029 19:55:05.056      101.01286049    
16 Jan 2029 14:10:09.061    16 Jan 2029 14:11:49.338      100.27638195    
16 Jan 2029 20:34:03.164    16 Jan 2029 20:35:03.945      60.780562309    
17 Jan 2029 14:50:42.805    17 Jan 2029 14:51:59.768      76.962456596    
17 Jan 2029 19:38:28.454    17 Jan 2029 19:40:29.818      121.36333978    
18 Jan 2029 13:55:08.799    18 Jan 2029 13:57:10.317      121.51751033    
18 Jan 2029 18:43:37.766    18 Jan 2029 18:44:57.022      79.255932011    
19 Jan 2029 13:00:30.960    19 Jan 2029 13:01:36.953      65.993102873    
19 Jan 2029 19:23:48.876    19 Jan 2029 19:25:26.847      97.971106600    
20 Jan 2029 13:40:30.861    20 Jan 2029 13:42:10.598      99.736758485    
20 Jan 2029 18:28:30.798    20 Jan 2029 18:30:28.356      117.55774441    
21 Jan 2029 12:45:09.759    21 Jan 2029 12:47:08.520      118.76131111    
21 Jan 2029 17:33:54.977    21 Jan 2029 17:34:33.362      38.385180174    
22 Jan 2029 18:13:38.603    22 Jan 2029 18:15:33.493      114.88920597    
23 Jan 2029 12:30:18.442    23 Jan 2029 12:32:12.044      113.60156585    
23 Jan 2029 17:18:30.519    23 Jan 2029 17:20:17.385      106.86607539    
24 Jan 2029 11:35:10.424    24 Jan 2029 11:36:57.374      106.94934509    
24 Jan 2029 17:59:20.553    24 Jan 2029 17:59:52.709      32.156116446    
25 Jan 2029 12:15:49.490    25 Jan 2029 12:16:54.596      65.105184296    
25 Jan 2029 17:03:27.554    25 Jan 2029 17:05:28.806      121.25154510    
26 Jan 2029 11:20:04.721    26 Jan 2029 11:22:05.136      120.41471349    
26 Jan 2029 16:08:28.275    26 Jan 2029 16:09:56.387      88.111631374    
27 Jan 2029 10:25:13.764    27 Jan 2029 10:26:34.075      80.311234575    
27 Jan 2029 16:48:42.061    27 Jan 2029 16:50:11.203      89.142237394    
28 Jan 2029 11:05:20.241    28 Jan 2029 11:06:53.278      93.037113233    
28 Jan 2029 15:53:14.451    28 Jan 2029 15:55:14.141      119.68985447    
29 Jan 2029 10:09:49.806    29 Jan 2029 10:11:49.888      120.08172835    
29 Jan 2029 14:58:26.934    29 Jan 2029 14:59:22.560      55.626618792    
30 Jan 2029 15:38:14.990    30 Jan 2029 15:40:06.182      111.19171043    
31 Jan 2029 09:54:51.754    31 Jan 2029 09:56:41.523      109.76943390    
31 Jan 2029 14:42:58.915    31 Jan 2029 14:44:49.848      110.93308555    
01 Feb 2029 08:59:34.455    01 Feb 2029 09:01:25.544      111.08940732    


Number of events : 58
