Target: DefaultSC

Observer: GroundStation1
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2029 19:54:34.041    01 Jan 2029 20:01:26.038      411.99685943    
01 Jan 2029 21:30:08.885    01 Jan 2029 21:37:29.312      440.42724045    
01 Jan 2029 23:06:24.804    01 Jan 2029 23:13:38.382      433.57859524    
02 Jan 2029 00:42:27.697    02 Jan 2029 00:49:45.601      437.90442862    
02 Jan 2029 02:18:55.340    02 Jan 2029 02:24:19.554      324.21397395    
02 Jan 2029 18:59:44.368    02 Jan 2029 19:05:42.631      358.26290821    
02 Jan 2029 20:34:38.164    02 Jan 2029 20:42:00.030      441.86546219    
02 Jan 2029 22:10:49.795    02 Jan 2029 22:18:03.287      433.49251739    
02 Jan 2029 23:46:57.897    02 Jan 2029 23:54:17.679      439.78268488    
03 Jan 2029 01:23:05.268    03 Jan 2029 01:29:39.963      394.69494224    
03 Jan 2029 18:05:31.857    03 Jan 2029 18:09:32.221      240.36397864    
03 Jan 2029 19:39:15.603    03 Jan 2029 19:46:29.378      433.77530950    
03 Jan 2029 21:15:12.975    03 Jan 2029 21:22:29.767      436.79217888    
03 Jan 2029 22:51:26.643    03 Jan 2029 22:58:43.339      436.69611159    
04 Jan 2029 00:27:28.093    04 Jan 2029 00:34:35.414      427.32034520    
04 Jan 2029 02:04:44.601    04 Jan 2029 02:07:53.205      188.60407249    
04 Jan 2029 18:44:06.379    04 Jan 2029 18:50:53.754      407.37528201    
04 Jan 2029 20:19:36.925    04 Jan 2029 20:26:58.017      441.09114439    
04 Jan 2029 21:55:52.539    04 Jan 2029 22:03:06.359      433.81976554    
04 Jan 2029 23:31:55.741    04 Jan 2029 23:39:14.996      439.25522628    
05 Jan 2029 01:08:19.429    05 Jan 2029 01:13:56.359      336.92951332    
05 Jan 2029 17:49:18.279    05 Jan 2029 17:55:06.493      348.21359577    
05 Jan 2029 19:24:05.266    05 Jan 2029 19:31:26.882      441.61601424    
05 Jan 2029 21:00:15.497    05 Jan 2029 21:07:29.563      434.06601904    
05 Jan 2029 22:36:24.147    05 Jan 2029 22:43:44.231      440.08418602    
06 Jan 2029 00:12:30.005    06 Jan 2029 00:19:11.059      401.05369559    
06 Jan 2029 16:55:12.172    06 Jan 2029 16:58:47.489      215.31747744    
06 Jan 2029 18:28:42.356    06 Jan 2029 18:35:54.017      431.66137948    
06 Jan 2029 20:04:36.894    06 Jan 2029 20:11:54.443      437.54962392    
06 Jan 2029 21:40:50.863    06 Jan 2029 21:48:07.539      436.67607423    
06 Jan 2029 23:16:52.014    06 Jan 2029 23:24:02.344      430.32993679    
07 Jan 2029 00:53:56.875    07 Jan 2029 00:57:35.567      218.69142564    
07 Jan 2029 17:33:33.572    07 Jan 2029 17:40:15.568      401.99678983    
07 Jan 2029 19:08:59.466    07 Jan 2029 19:16:21.020      441.55417560    
07 Jan 2029 20:45:14.643    07 Jan 2029 20:52:28.609      433.96544815    
07 Jan 2029 22:21:18.202    07 Jan 2029 22:28:38.534      440.33271993    
07 Jan 2029 23:57:38.310    08 Jan 2029 00:03:26.958      348.64816141    
08 Jan 2029 16:38:47.387    08 Jan 2029 16:44:24.132      336.74511166    
08 Jan 2029 18:13:26.946    08 Jan 2029 18:20:47.986      441.04062069    
08 Jan 2029 19:49:35.578    08 Jan 2029 19:56:50.125      434.54772157    
08 Jan 2029 21:25:44.772    08 Jan 2029 21:33:04.958      440.18548048    
08 Jan 2029 23:01:49.277    08 Jan 2029 23:08:36.160      406.88276055    
09 Jan 2029 15:44:49.956    09 Jan 2029 15:47:54.290      184.33458813    
09 Jan 2029 17:18:03.799    09 Jan 2029 17:25:12.834      429.03485323    
09 Jan 2029 18:53:55.230    09 Jan 2029 19:01:13.405      438.17411981    
09 Jan 2029 20:30:09.431    09 Jan 2029 20:37:25.949      436.51802936    
09 Jan 2029 22:06:10.376    09 Jan 2029 22:13:23.341      432.96490414    
09 Jan 2029 23:43:05.677    09 Jan 2029 23:47:09.952      244.27441622    
10 Jan 2029 16:22:55.633    10 Jan 2029 16:29:31.419      395.78566033    
10 Jan 2029 17:58:16.492    10 Jan 2029 18:05:38.290      441.79758512    
10 Jan 2029 19:34:31.090    10 Jan 2029 19:41:45.103      434.01249514    
10 Jan 2029 21:10:35.053    10 Jan 2029 21:17:56.182      441.12884409    
10 Jan 2029 22:46:51.918    10 Jan 2029 22:52:51.344      359.42618017    
11 Jan 2029 15:28:11.787    11 Jan 2029 15:33:35.430      323.64349732    
11 Jan 2029 17:02:43.206    11 Jan 2029 17:10:03.318      440.11176552    
11 Jan 2029 18:38:50.026    11 Jan 2029 18:46:04.957      434.93159189    
11 Jan 2029 20:14:59.755    11 Jan 2029 20:22:19.838      440.08295923    
11 Jan 2029 21:51:03.063    11 Jan 2029 21:57:55.242      412.17898697    
12 Jan 2029 14:34:27.186    12 Jan 2029 14:36:50.645      143.45926701    
12 Jan 2029 16:07:19.954    12 Jan 2029 16:14:25.806      425.85231510    
12 Jan 2029 17:43:07.991    12 Jan 2029 17:50:26.646      438.65455971    
12 Jan 2029 19:19:22.343    12 Jan 2029 19:26:38.564      436.22135902    
12 Jan 2029 20:55:23.177    12 Jan 2029 21:02:38.394      435.21725972    
12 Jan 2029 22:32:10.381    12 Jan 2029 22:36:36.968      266.58688855    
13 Jan 2029 15:12:12.621    13 Jan 2029 15:18:41.279      388.65722321    
13 Jan 2029 16:47:28.029    13 Jan 2029 16:54:49.832      441.80351574    
13 Jan 2029 18:23:41.893    13 Jan 2029 18:30:55.854      433.96036495    
13 Jan 2029 19:59:46.305    13 Jan 2029 20:07:07.944      441.63886320    
13 Jan 2029 21:36:00.238    13 Jan 2029 21:42:09.547      369.30882182    
14 Jan 2029 14:17:31.645    14 Jan 2029 14:22:40.279      308.63399062    
14 Jan 2029 15:51:54.091    14 Jan 2029 15:59:12.892      438.80161371    
14 Jan 2029 17:27:58.873    14 Jan 2029 17:35:14.087      435.21389837    
14 Jan 2029 19:04:09.120    14 Jan 2029 19:11:28.897      439.77653047    
14 Jan 2029 20:40:11.386    14 Jan 2029 20:47:08.326      416.93994328    
15 Jan 2029 13:24:11.147    15 Jan 2029 13:25:29.357      78.209946561    
15 Jan 2029 14:56:30.889    15 Jan 2029 15:03:32.956      422.06688848    
15 Jan 2029 16:32:15.225    15 Jan 2029 16:39:34.207      438.98147248    
15 Jan 2029 18:08:29.640    15 Jan 2029 18:15:45.429      435.78906561    
15 Jan 2029 19:44:30.456    15 Jan 2029 19:51:47.537      437.08126968    
15 Jan 2029 21:21:10.671    15 Jan 2029 21:25:57.002      286.33097308    
16 Jan 2029 14:01:24.642    16 Jan 2029 14:07:45.156      380.51338191    
16 Jan 2029 15:36:34.141    16 Jan 2029 15:43:55.696      441.55458390    
16 Jan 2029 17:12:47.108    16 Jan 2029 17:20:00.919      433.81158878    
16 Jan 2029 18:48:52.010    16 Jan 2029 18:56:13.871      441.86128518    
16 Jan 2029 20:25:03.300    16 Jan 2029 20:31:21.631      378.33033011    
17 Jan 2029 13:06:47.212    17 Jan 2029 13:11:38.562      291.35018871    
17 Jan 2029 14:40:59.684    17 Jan 2029 14:48:16.766      437.08122787    
17 Jan 2029 16:17:02.189    17 Jan 2029 16:24:17.582      435.39288458    
17 Jan 2029 17:53:12.932    17 Jan 2029 18:00:32.202      439.26976647    
17 Jan 2029 19:29:14.307    17 Jan 2029 19:36:15.471      421.16363291    
17 Jan 2029 21:07:35.781    17 Jan 2029 21:08:15.869      40.087960556    
18 Jan 2029 13:45:36.710    18 Jan 2029 13:52:34.337      417.62768913    
18 Jan 2029 15:21:17.016    18 Jan 2029 15:28:36.162      439.14613570    
18 Jan 2029 16:57:31.393    18 Jan 2029 17:04:46.620      435.22727180    
18 Jan 2029 18:33:32.284    18 Jan 2029 18:40:50.838      438.55400265    
18 Jan 2029 20:10:06.393    18 Jan 2029 20:15:10.341      303.94823004    
19 Jan 2029 12:50:31.839    19 Jan 2029 12:56:43.079      371.24068716    
19 Jan 2029 14:25:34.926    19 Jan 2029 14:32:55.960      441.03324608    
19 Jan 2029 16:01:46.815    19 Jan 2029 16:09:00.386      433.57062374    
19 Jan 2029 17:37:52.246    19 Jan 2029 17:45:14.044      441.79810878    
19 Jan 2029 19:14:01.166    19 Jan 2029 19:20:27.685      386.51927370    
20 Jan 2029 11:55:58.834    20 Jan 2029 12:00:30.117      271.28392289    
20 Jan 2029 13:30:00.093    20 Jan 2029 13:37:15.013      434.92050577    
20 Jan 2029 15:06:00.064    20 Jan 2029 15:13:15.531      435.46753685    
20 Jan 2029 16:42:11.271    20 Jan 2029 16:49:29.840      438.56938648    
20 Jan 2029 18:18:11.906    20 Jan 2029 18:25:16.757      424.85073949    
20 Jan 2029 19:55:53.036    20 Jan 2029 19:58:01.754      128.71836552    
21 Jan 2029 12:34:37.534    21 Jan 2029 12:41:30.014      412.47963599    
21 Jan 2029 14:10:13.461    21 Jan 2029 14:17:32.601      439.13992534    
21 Jan 2029 15:46:27.688    21 Jan 2029 15:53:42.232      434.54431999    
21 Jan 2029 17:22:28.746    21 Jan 2029 17:29:48.382      439.63619289    
21 Jan 2029 18:58:57.476    21 Jan 2029 19:04:17.216      319.74080839    
22 Jan 2029 11:39:34.368    22 Jan 2029 11:45:35.074      360.70543734    
22 Jan 2029 13:14:30.484    22 Jan 2029 13:21:50.706      440.22162430    
22 Jan 2029 14:50:41.102    22 Jan 2029 14:57:54.345      433.24319202    
22 Jan 2029 16:26:47.094    22 Jan 2029 16:34:08.549      441.45481830    
22 Jan 2029 18:02:53.900    22 Jan 2029 18:09:27.803      393.90264902    
23 Jan 2029 10:45:06.973    23 Jan 2029 10:49:14.653      247.67972206    
23 Jan 2029 12:18:55.419    23 Jan 2029 12:26:07.707      432.28780908    
23 Jan 2029 13:54:52.585    23 Jan 2029 14:02:08.022      435.43752513    
23 Jan 2029 15:31:04.214    23 Jan 2029 15:38:21.899      437.68508511    
23 Jan 2029 17:07:04.255    23 Jan 2029 17:14:12.261      428.00538096    
23 Jan 2029 18:44:25.551    23 Jan 2029 18:47:21.387      175.83612978    
24 Jan 2029 11:23:33.475    24 Jan 2029 11:30:20.036      406.56131320    
24 Jan 2029 12:59:04.643    24 Jan 2029 13:06:23.598      438.95455620    
24 Jan 2029 14:35:18.595    24 Jan 2029 14:42:32.346      433.75092570    
24 Jan 2029 16:11:19.907    24 Jan 2029 16:18:40.239      440.33230314    
24 Jan 2029 17:47:43.874    24 Jan 2029 17:53:17.802      333.92827073    
25 Jan 2029 10:28:32.383    25 Jan 2029 10:34:21.126      348.74336401    
25 Jan 2029 12:03:20.893    25 Jan 2029 12:10:39.995      439.10145618    
25 Jan 2029 13:39:30.032    25 Jan 2029 13:46:42.869      432.83680435    
25 Jan 2029 15:15:36.610    25 Jan 2029 15:22:57.450      440.84053345    
25 Jan 2029 16:51:41.544    25 Jan 2029 16:58:22.051      400.50665037    
26 Jan 2029 09:34:12.306    26 Jan 2029 09:37:51.607      219.30074233    
26 Jan 2029 11:07:45.737    26 Jan 2029 11:14:54.886      429.14886827    
26 Jan 2029 12:43:39.805    26 Jan 2029 12:50:55.109      435.30380402    
26 Jan 2029 14:19:51.804    26 Jan 2029 14:27:08.434      436.62999660    
26 Jan 2029 15:55:51.395    26 Jan 2029 16:03:02.029      430.63487064    
26 Jan 2029 17:32:58.464    26 Jan 2029 17:36:29.708      211.24399257    
27 Jan 2029 10:12:24.606    27 Jan 2029 10:19:04.407      399.80159390    
27 Jan 2029 11:47:50.606    27 Jan 2029 11:55:09.188      438.58234029    
27 Jan 2029 13:24:04.142    27 Jan 2029 13:31:17.003      432.86083045    
27 Jan 2029 15:00:05.792    27 Jan 2029 15:07:26.443      440.65059973    
27 Jan 2029 16:36:25.528    27 Jan 2029 16:42:12.205      346.67680379    
28 Jan 2029 09:17:26.008    28 Jan 2029 09:23:01.153      335.14495186    
28 Jan 2029 10:52:06.183    28 Jan 2029 10:59:23.837      437.65367969    
28 Jan 2029 12:28:13.617    28 Jan 2029 12:35:25.978      432.36136028    
28 Jan 2029 14:04:20.798    28 Jan 2029 14:11:40.766      439.96844975    
28 Jan 2029 15:40:24.091    28 Jan 2029 15:47:10.448      406.35693170    
29 Jan 2029 08:23:15.997    29 Jan 2029 08:26:19.815      183.81825776    
29 Jan 2029 09:56:31.065    29 Jan 2029 10:03:36.530      425.46544145    
29 Jan 2029 11:32:21.722    29 Jan 2029 11:39:36.791      435.06886074    
29 Jan 2029 13:08:34.023    29 Jan 2029 13:15:49.444      435.42128038    
29 Jan 2029 14:44:33.304    29 Jan 2029 14:51:46.054      432.74980146    
29 Jan 2029 16:21:29.169    29 Jan 2029 16:25:29.288      240.11953751    
30 Jan 2029 09:01:10.948    30 Jan 2029 09:07:43.064      392.11629845    
30 Jan 2029 10:36:31.329    30 Jan 2029 10:43:49.345      438.01598033    
30 Jan 2029 12:12:44.293    30 Jan 2029 12:19:56.184      431.89118392    
30 Jan 2029 13:48:46.360    30 Jan 2029 13:56:06.963      440.60360806    
30 Jan 2029 15:25:02.333    30 Jan 2029 15:31:00.450      358.11700526    
31 Jan 2029 08:06:15.337    31 Jan 2029 08:11:34.973      319.63615824    
31 Jan 2029 09:40:46.320    31 Jan 2029 09:48:02.178      435.85788313    
31 Jan 2029 11:16:51.803    31 Jan 2029 11:24:03.632      431.82903127    
31 Jan 2029 12:52:59.595    31 Jan 2029 13:00:18.451      438.85630374    
31 Jan 2029 14:29:01.467    31 Jan 2029 14:35:52.947      411.47988093    
01 Feb 2029 07:12:20.810    01 Feb 2029 07:14:36.386      135.57675469    
01 Feb 2029 08:45:11.359    01 Feb 2029 08:52:12.554      421.19461148    
01 Feb 2029 10:20:58.266    01 Feb 2029 10:28:13.002      434.73616006    
01 Feb 2029 11:57:10.790    01 Feb 2029 12:04:24.870      434.08008587    
01 Feb 2029 13:33:09.897    01 Feb 2029 13:40:24.262      434.36503642    
01 Feb 2029 15:09:56.529    01 Feb 2029 15:14:21.098      264.56925905    
02 Feb 2029 07:49:52.466    02 Feb 2029 07:56:15.872      383.40598214    
02 Feb 2029 09:25:06.731    02 Feb 2029 09:32:23.979      437.24790746    
02 Feb 2029 11:01:18.947    02 Feb 2029 11:08:29.809      430.86177200    
02 Feb 2029 12:37:21.506    02 Feb 2029 12:44:41.714      440.20865760    
02 Feb 2029 14:13:34.134    02 Feb 2029 14:19:42.492      368.35790601    
03 Feb 2029 06:55:00.452    03 Feb 2029 07:00:02.302      301.84971843    
03 Feb 2029 08:29:21.213    03 Feb 2029 08:36:34.905      433.69184083    
03 Feb 2029 10:05:24.480    03 Feb 2029 10:12:35.733      431.25310965    
03 Feb 2029 11:41:32.880    03 Feb 2029 11:48:50.406      437.52610262    
03 Feb 2029 13:17:33.542    03 Feb 2029 13:24:29.447      415.90485190    
04 Feb 2029 06:01:42.635    04 Feb 2029 06:02:25.197      42.561986879    
04 Feb 2029 07:33:46.527    04 Feb 2029 07:40:42.815      416.28786600    
